id,name,type,frequency_text,ac,damage_base,damage_dice,damage_set,class,range_text,effect_text,source_id,source_page,needs_review
assurance,Assurance,Dark,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target","When you hit with Assurance, if Assurance's target has already been damaged by a Move on the same round Assurance is being used, Assurance has a Damage Base of 12 (3d12+10 / 30) instead. This effect may trigger only once per Scene per Target.",core,350,False
astonish,Astonish,Ghost,At-Will,2,3,1d6+5,9,Physical,"Melee, 1 Target","Astonish Flinches the target on 15+. Once per scene, if the target is unaware of the user's presence, Astonish automatically Flinches the target.",core,377,False
attack-order,Attack Order,Bug,EOT,2,9,2d10+10,21,Physical,"6, 1 Target",Attack Order is a Critical Hit on 18+.,core,337,False
attract,Attract,Normal,Scene x2,2,,,,Status,"3, 1 Target, Social",Attract Infatuates the target if its gender is the opposite of the user's. Attract fails when used by or against Genderless targets.,core,391,False
aura-sphere,Aura Sphere,Fighting,EOT,,8,2d8+10,19,Special,"8, 1 Target, Aura",Aura Sphere cannot miss.,core,363,False
aura-wheel,Aura Wheel,Electric,Scene x2,2,11,3d10+10,27,Physical,"Melee, 1 Target",The user's Speed is increased 1 CS.,new,7,False
aurora-beam,Aurora Beam,Ice,At-Will,2,7,2d6+10,17,Special,"6, 1 Target",Aurora Beam lowers the target's Attack 1 Combat Stage on 18+.,core,388,False
aurora-veil,Aurora Veil,Ice,Scene,,,,,Status,Blessing,"Blessing - Any user affected by Aurora Veil may activate it when receiving Damage to resist the Damage one step. Aurora Veil may be activated 2 times, and then disappears.",sumo,18,False
autotomize,Autotomize,Steel,EOT,,,,,Status,Self,"For the remainder of the Encounter, the user's Weight Class is one value lower, to a minimum of 1. If the user can, the user's Speed is raised by +2 Combat Stages.",core,429,False
avalanche,Avalanche,Ice,EOT,2,6,2d6+8,15,Physical,"Melee, 1 Target","When declaring Avalanche, the user does nothing and may not Shift. At the end of the round, the user Shifts and uses Avalanche on any legal target. If the target damaged the user this round, Avalanche has a Damage Base of 12 (4d10+15 / 40) instead.",core,388,False
baby-doll-eyes,Baby-Doll Eyes,Fairy,EOT,2,,,,Status,"4, 1 Target, Priority, Social",The target's Attack is lowered 1 Combat Stage.,core,360,False
backswing,Backswing,Normal,EOT,2,7,2d6+10,17,Physical,"Melee, 2 Targets",None,core,288,False
bane,Bane,Normal,Scene x2,2,4,1d8+6,11,Special,"WR, 1 Target",The target loses a Tick of Hit Points at the start of their next three turns and suffers a -2 penalty to all Save Checks on those turns.,got,45,False
baneful-bunker,Baneful Bunker,Poison,Scene,,,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use Baneful Bunker. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects. In addition, if the triggering attack was Melee ranged, the attacker is Poisoned.",sumo,20,False
barrage,Barrage,Normal,At-Will,4,2,1d6+3,7,Physical,"6, 1 Target, Five Strike",None,core,391,False
barrier,Barrier,Psychic,Scene x2,,,,,Status,Hazard,"The user creates a Barrier of psychic energy. The user places up to 4 segments of Barrier; each segment must be continuous with another segment, and at least one must be adjacent to the user. These barriers count as blocking terrain and last until the end of the encounter or until they are destroyed. Each Barrier segment is 2 meters tall, 1 meter wide, and 2 centimeters thick. Each segment has 20 Hit Points, 15 Damage Reduction, and takes damage as if it was Psychic Typed.",core,418,False
bash,Bash!,Normal,EOT,2,7,2d6+10,17,Physical,"WR, 1 Target",Bash! lowers the target's Initiative to 0 for 1 full round on 15+.,core,288,False
baton-pass,Baton Pass,Normal,At-Will,,,,,Status,Self,"The user is replaced with another Pokémon from their trainer's roster. All Combat Stage, Coats, and [Stratagems] on Baton Pass' user are transferred to the replacement. Baton Pass may be used to switch even if the user is Trapped.",core,391,False
beak-blast,Beak Blast,Flying,Scene x2,2,10,3d8+10,24,Physical,"6, 1 Target, Priority","Beak Blast must be declared at the start of the round. If the user is hit by a Melee attack this round, their attacker is Burned. At the end of the round, the user may shift and attack with Beak Blast.",sumo,14,False
beat-up,Beat Up,Dark,EOT,,,,,Physical,"Melee, 1 Target","The user and up to two allies adjacent to the target may each make a Struggle Attack against the target. These Struggle Attacks hit for Dark-Type Damage instead of their usual Type. Beat Up may trigger Pack Hunt only once, no matter the number of attacks.",core,350,False
behemoth-bash,Behemoth Bash,Steel,Scene x2,2,10,3d8+10,24,Physical,"Melee, 1 Target","The DB of Behemoth Bash increases by +2 for each positive CS the target has, to a maximum of DB 20.",new,15,False
behemoth-blade,Behemoth Blade,Steel,Scene x2,2,10,3d8+10,24,Physical,"Melee, 1 Target","The DB of Behemoth Blade increases by +2 for each positive CS the target has, to a maximum of DB 20.",new,15,False
belch,Belch,Poison,Scene x2,4,12,3d12+10,30,Special,Cone 2,Belch cannot be used if the user has not traded in a Digestion Buff during this Scene.,core,414,False
belly-drum,Belly Drum,Normal,Scene,,,,,Status,Self,"The user gains +6 Attack Combat Stages, and loses Hit Points equal to ½ of their Max Hit Points.",core,391,False
bestow,Bestow,Normal,At-Will,,,,,Status,"Melee, 1 Target","The user gives its held item to the target, unless the target is already holding an item. Using Bestow is a Swift Action.",core,392,False
bide,Bide,Normal,Scene,,,,,Physical,"Burst 1, Friendly","The user may use Bide as a Reaction Move upon being Hit by a Damaging Move. During their next available turn, the user may Shift and then use Bide, causing all Adjacent foes to lose X HP, where X is the amount of Damage taken since declaring use of Bide (Loss of life through effects such as Poison is not ‘Damage').",core,392,False
bind,Bind,Normal,Static,,,,,Static,,"The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points.",core,392,True
bite,Bite,Dark,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target",Bite Flinches the target on 15+.,core,350,False
blade-trap,Blade Trap,Steel,Scene,,,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use Blade Trap. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects. In addition, if the triggering attack was Melee ranged, the attacker becomes Vulnerable for one full round. 34",got,34,False
blast-burn,Blast Burn,Fire,Daily x2,4,15,4d10+20,45,Special,"Close Blast 3, Smite, Exhaust",None,core,369,False
blaze-kick,Blaze Kick,Fire,EOT,4,9,2d10+10,21,Physical,"Melee, 1 Target","Blaze Kick Burns the target on 19+, and is a Critical Hit on 18+.",core,369,False
bleed,Bleed!,Normal,Scene x2,2,9,2d10+10,21,Physical,"WR, 1 Target",The target loses a Tick of Hit Points at the start of their next three turns.,core,290,False
blizzard,Blizzard,Ice,Scene x2,7,11,3d10+10,27,Special,"4, Ranged Blast 2, Smite","Blizzard Freezes all legal target on 15+. If the target is in Hailing Weather, Blizzard cannot miss.",core,388,False
block,Block,Normal,At-Will,2,,,,Status,"Melee, 1 Target",The target is Stuck and Trapped until the beginning of your next turn.,core,392,False
blue-flare,Blue Flare,Fire,Scene x2,5,13,4d10+10,35,Special,"10, 1 Target, Smite",Blue Flare Burns the target on 17+.,core,369,False
body-press,Body Press,Fighting,Scene x2,2,8,2d8+10,19,Physical,"Melee, 1 Target",The user's Defense Stat is added to the damage roll instead of the Attack Stat.,new,9,False
body-slam,Body Slam,Normal,Scene x2,2,9,2d10+10,21,Physical,"Melee, 1 Target",Body Slam Paralyzes the target on 15+.,core,392,False
bolt-beak,Bolt Beak,Electric,Scene x2,2,9,2d10+10,21,Physical,"Melee, 1 Target","Against targets with a lower initiative that have not yet acted this round, Bolt Beak deals +10 damage.",new,7,False
bolt-strike,Bolt Strike,Electric,Scene x2,5,13,4d10+10,35,Physical,"10, 1 Target, Smite",Bolt Strike Paralyzes the target on 17+.,core,356,False
bone-club,Bone Club,Ground,At-Will,5,7,2d6+10,17,Physical,"Melee, 1 Target",Bone Club Flinches the target on 18+.,core,385,False
bone-rush,Bone Rush,Ground,EOT,4,3,1d6+5,9,Physical,"Melee, 1 Target, Five Strike",None,core,385,False
bonemerang,Bonemerang,Ground,EOT,3,5,1d8+8,13,Physical,"6, Double Strike",None,core,385,False
boomburst,Boomburst,Normal,Scene,2,14,4d10+15,40,Special,"Burst 1, Sonic",None,core,392,False
bounce,Bounce,Flying,Scene x2,4,9,2d10+10,21,Physical,"Melee, 1 Target, Dash, Full Action","The user first Shifts, gaining a +1 Bonus to Movement Speed and to their Jump Capabilities. After the user Shifts, they may attack with Bounce. The target becomes Vulnerable, and is Paralyzed on 16+.",core,373,False
branch-poke,Branch Poke,Grass,At-Will,2,4,1d8+6,11,Physical,"2, 1 Target",,new,11,False
brave-bird,Brave Bird,Flying,Scene x2,2,12,3d12+10,30,Physical,"Melee, Dash, Push, Recoil 1/3",The target is pushed back 2 meters.,core,373,False
breaking-swipe,Breaking Swipe,Dragon,EOT,2,6,2d6+8,15,Physical,Close Blast 2,The target's Attack is lowered 1 CS.,new,6,False
brick-break,Brick Break,Fighting,At-Will,2,8,2d8+10,19,Physical,"Melee, 1 Target",Light Screen and Reflect may not be activated in response to Brick Break.,core,363,False
brine,Brine,Water,Scene x2,2,7,2d6+10,17,Special,"6, 1 Target","If the target's Hit Points are under 50%, Brine's Damage Base is increased to Damage Base 13 (4d10+10 / 35).",core,432,False
brutal-swing,Brutal Swing,Dark,EOT,2,6,2d6+8,15,Physical,Burst 1,,sumo,8,False
bubble,Bubble,Water,At-Will,2,4,1d8+6,11,Special,Burst 1,Bubble lowers the target's Speed on 16+.,core,432,False
bubble-beam,Bubble Beam,Water,At-Will,2,8,3d6+10,21,Special,"4, 1 Target",Bubble Beam lowers the target's Speed on 18+.,core,432,False
bug-bite,Bug Bite,Bug,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target","If the target has a stored Digestion Buff or has traded in a Digestion Buff this Scene, the user may gain the effects of the Digestion Buff. This does not count towards the usual limit on the user's Digestion Buffs.",core,346,False
bug-buzz,Bug Buzz,Bug,Scene x2,2,9,2d10+10,21,Special,"Cone 2 or Close Blast 2, Sonic, Smite",Bug Buzz lowers the Special Defense of all targets on 19+.,core,346,False
bulk-up,Bulk Up,Fighting,EOT,,,,,Status,Self,Raise the user's Attack 1 Combat Stage and raise the user's Defense 1 Combat Stage.,core,363,False
bulldoze,Bulldoze,Ground,EOT,2,6,2d6+8,15,Physical,Burst 1,All Legal Targets are lowered 1 Speed Combat Stage.,core,385,False
bullet-punch,Bullet Punch,Steel,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target, Priority",None.,core,429,False
bullet-seed,Bullet Seed,Grass,EOT,4,3,1d6+5,9,Physical,"6, 1 Target, Five Strike",None,core,380,False
bullseye,Bullseye,Normal,EOT,2,6,2d6+8,15,Physical,"WR, 1 Target",Bullseye is a Critical Hit on 16+.,core,288,False
burn-up,Burn Up,Fire,Daily x2,2,13,4d10+10,35,Special,"Burst 1, Smite","Until the end of the encounter, the user loses its Fire-Type. Pure Fire-Types instead become Normal-Type.",sumo,13,False
calm-mind,Calm Mind,Psychic,EOT,,,,,Status,Self,Raise the user's Special Attack 1 Combat Stage and raise the user's Special Defense 1 Combat Stage.,core,418,False
camouflage,Camouflage,Normal,EOT,,,,,Status,Self,"The user changes their Type to match the field. Forests and grassy areas change the user into Grass- Type. Watery areas change the user into Water-Type. Caves and Mountains could change the user into Rock- Type or Ground-Type. An icy terrain would turn the user into Ice-Type. A building may change the user into Steel-Type or Normal-Type. Weather affects what Type the user becomes. Use common sense, if you are having difficult determining what type the user should become, consult the GM.",core,392,False
captivate,Captivate,Normal,Scene,2,,,,Status,"Cone 2, Friendly, Social",Captivate lowers the target's Special Attack 2 Combat Stages. Captivate may not affect something that is the same gender as the user or something that is genderless.,core,393,False
charge,Charge,Electric,EOT,,,,,Status,Self,"If the user performs an Electric Move on their next turn that deals damage, add its Damage Dice Roll an extra time to the damage. Raise the user's Special Defense 1 Combat Stage.",core,356,False
charge-beam,Charge Beam,Electric,At-Will,4,5,1d8+8,13,Special,"6, 1 Target","If Charge Beam successfully hits a target, roll 1d20. On a roll of 7+, the user's Special Attack is raised by +1 Combat Stage.",core,356,False
charm,Charm,Fairy,EOT,2,,,,Status,"6, 1 Target, Social",Charm lowers the target's Attack 2 Combat Stages.,core,360,False
chatter,Chatter,Flying,At-Will,2,7,2d6+10,17,Special,"4, 1 Target, Sonic",Chatter confuses all targets on 16+.,core,373,False
cheap-shot,Cheap Shot,Normal,EOT,2,5,1d8+8,13,Physical,"WR, 1 Target",Cheap Shot cannot miss.,core,288,False
chip-away,Chip Away,Normal,EOT,2,7,2d6+10,17,Physical,"Melee, 1 Target","Ignore any Armor, Damage Reduction, or changes in the target's Defense or Special Defense (such as from Combat Stages) when calculating damage.",core,393,False
circle-throw,Circle Throw,Fighting,At-Will,4,6,2d6+8,15,Physical,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their Weight Class. On 15+, the target is also Tripped.",core,363,False
clamp,Clamp,Water,Static,,,,,Static,,"The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points.",core,432,True
clanging-scales,Clanging Scales,Dragon,Scene x2,2,11,3d10+10,27,Special,"6, 1 Target or Burst 1","The user adds half their Defense Stat to Clanging Scale's Damage Roll. After the Move is resolved, the user's Defense is lowered by 1 CS.",sumo,9,False
clangorous-soul,Clangorous Soul,Dragon,Scene,,,,,Status,Self,The user loses 1/3rd of their Max Hit Points and has each of its stats raised by +1 Combat Stage.,new,6,False
clear-smog,Clear Smog,Poison,Scene x2,,5,1d8+8,13,Special,"6, 1 Target","The target's Combat Stages are reset to their default, and all Coats on the target are destroyed. Clear Smog cannot miss.",core,414,False
close-combat,Close Combat,Fighting,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target, Dash",The user's Defense and Special Defense are each lowered by -1 Combat Stage.,core,363,False
coil,Coil,Poison,Scene x2,,,,,Status,Self,"Raise the user's Attack 1 Combat Stage, raise the user's Defense 1 Combat Stage, and the user gains +1 Accuracy.",core,414,False
comet-punch,Comet Punch,Normal,At-Will,4,2,1d6+3,7,Physical,"Melee, 1 Target, Five Strike",None,core,393,False
cone-of-force,Cone of Force,Normal,Scene x2,2,6,2d6+8,15,Special,"Cone 2, Push","Cone of Force Pushes all targets 2 meters, and lowers their Evasion by -2 for 1 full round..",got,45,False
confide,Confide,Normal,At-Will,2,,,,Status,"4, 1 Target, Social",The target's Special Attack is lowered 1 Combat Stage.,core,393,False
confuse-ray,Confuse Ray,Ghost,Scene x2,2,,,,Status,"6, 1 Target",The target is Confused.,core,377,False
confusion,Confusion,Psychic,At-Will,2,5,1d8+8,13,Special,"6, 1 Target",Confusion Confuses the target on 19+.,core,418,False
constrict,Constrict,Normal,At-Will,2,1,1d6+1,4,Physical,"Melee, 1 Target","Constrict lowers the target's Speed 1 Combat Stage. Constrict may be used as a Swift Action against targets the user is Grappling, and automatically hits when performed this way.",core,393,False
conversion,Conversion,Normal,At-Will,,,,,Status,Self,The user becomes the elemental Type of their choice as long as they have a Move that is the same elemental Type until the end of the encounter. Replace all other Types.,core,393,False
conversion2,Conversion2,Normal,At-Will,,,,,Status,Self,The user becomes the elemental Type of their choice as long as the Type resists the elemental Type of the Move it last took damage from until the end of the encounter. Replace all other Types.,core,393,False
copycat,Copycat,Normal,Scene x2,,,,,Status,"4, 1 Target",Use the Move the target has used on their last turn. You may choose new targets for the Move. Copycat cannot miss.,core,393,False
core-enforcer,Core Enforcer,Dragon,Daily x2,2,10,3d8+10,24,Special,"6, Ranged Blast 1, Spirit Surge","Each target has its Ability disabled until the end of the encounter. If a target has more than one Ability, you choose one of them to disable.",sumo,9,False
cosmic-power,Cosmic Power,Psychic,EOT,,,,,Status,Self,Raise the user's Defense 1 Combat Stage and raise the user's Special Defense 1 Combat Stage.,core,419,False
cotton-guard,Cotton Guard,Grass,Scene,,,,,Status,Self,Raise the user's Defense 3 Combat Stages.,core,380,False
cotton-spore,Cotton Spore,Grass,EOT,2,,,,Status,"Burst 1, Powder",All Legal Targets have their Speed lowered 2 Combat Stages.,core,380,False
counter,Counter,Fighting,Scene x2,,,,,Physical,"Melee, 1 Target, Reaction, Trigger","Counter may be used as a Reaction when the user is hit by a damaging Physical Attack. Resolve the Triggering Attack, with Counter's user resisting the attack one step further. After the attack is resolved, if Counter's user was not Fainted, the triggering foe then loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack. Note that Counter is Physical, and while it cannot miss, it cannot hit targets immune to Fighting-Type Moves.",core,363,False
court-change,Court Change,Normal,Daily,,,,,Status,Field,All Blessings and Hazards swap which side that they belong to.,new,12,False
covet,Covet,Normal,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target","Covet takes the target's Held Item or Accessory Slot Item and attaches it to Covet's user, if the user is not holding anything.",core,394,False
crabhammer,Crabhammer,Water,EOT,4,10,3d8+10,24,Physical,"Melee, 1 Target",Crabhammer is a Critical Hit on 18+.,core,432,False
crafty-shield,Crafty Shield,Fairy,Scene,,,,,Status,"Burst 2, Interrupt, Shield, Trigger","If the user or an Ally within 2 meters of Crafty Shield's user is hit by a Status Move, you may use Crafty Shield as an Interrupt. All targets in Crafty Shield's area- of-effect including the user, are instead not hit by the triggering Move and do not suffer any of its effects.",core,360,False
cross-chop,Cross Chop,Fighting,Scene x2,4,10,3d8+10,24,Physical,"Melee, 1 Target",Cross Chop is a Critical Hit on 16+.,core,364,False
cross-poison,Cross Poison,Poison,EOT,2,7,2d6+10,17,Physical,"Melee, Pass","Cross Poison is a Critical Hit on 18+, and Poisons the target on 19+.",core,414,False
crunch,Crunch,Dark,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target",Crunch lowers the target's Defense 1 Combat Stage on 17+,core,350,False
crush-claw,Crush Claw,Normal,EOT,3,7,2d6+10,17,Physical,"Melee, 1 Target, Dash",Crush Claw lowers the target's Defense 1 Combat Stage on Even-Numbered Rolls.,core,394,False
crush-grip,Crush Grip,Normal,Scene,2,12,3d12+10,30,Physical,"Melee, 1 Target","For every 10% the target is below their full Hit Points, Crush Grip's Damage Base is reduced by 1.",core,394,False
curse,Curse,Ghost,See Text,,,,,Status,Self,"If the user is not a Ghost Type, Curse has a Frequency of EOT, and when used the user lowers its Speed by -1 Combat Stage, but raises Attack and Defense by +1 Combat Stage each. If the user is a Ghost Type, Curse has a Frequency of Scene, and when used the user loses 1/3rd of their Max Hit Points and a target Pokémon or Trainer within 8 meters of the user becomes Cursed. This Hit Point loss cannot be prevented in any way.",core,377,False
cut,Cut,Normal,At-Will,3,5,1d8+8,13,Physical,"Melee, Pass",Cut ignores up to 5 Damage Reduction (Defenses are not Damage Reduction).,core,394,False
dark-pulse,Dark Pulse,Dark,EOT,2,8,2d8+10,19,Special,"8, 1 Target, Aura",Dark Pulse Flinches the target on 17+,core,350,False
dark-void,Dark Void,Dark,EOT,10,,,,Status,Melee 1,"The target falls Asleep. Once per Scene, Dark Void may be used as if its range were ""Burst 5, Friendly"" instead.",sumo,8,False
darkest-lariat,Darkest Lariat,Dark,EOT,2,9,2d10+10,21,Physical,"Melee, 1 Target",This Move ignores the target's positive Defense Combat Stages and all Damage Reduction.,sumo,8,False
dazzling-gleam,Dazzling Gleam,Fairy,EOT,2,8,2d8+10,19,Special,Cone 2,None,core,360,False
deadly-strike,Deadly Strike,Normal,Scene x2,2,6,2d6+8,15,Physical,"WR, 1 Target","If Deadly Strike Hits, it is a Critical Hit.",core,290,False
decorate,Decorate,Fairy,Scene,,,,,Status,"Melee, 1 Target",The target gains +2 CS in both Attack and Special Attack.,new,8,False
defend-order,Defend Order,Bug,EOT,,,,,Status,Self,Raise the user's Defense and Special Defense 1 Combat Stage each.,core,346,False
defense-curl,Defense Curl,Normal,At-Will,,,,,Status,Self,"The user's Defense is raised 1 Combat Stage and they become Curled Up until the end of the Scene or they are Recalled or Take a Breather. When using the Moves Rollout or Ice Ball while Curled Up, the user gains a +10 bonus to the damage rolls of those Moves.",sep2015,4,False
defog,Defog,Flying,Daily x2,,,,,Status,"Field, Weather","The Weather becomes Clear, and all Blessings, Coats, and Hazards are destroyed. Clear Weather is the default weather, conferring no innate bonuses or penalties of any sort.",core,374,False
destiny-bond,Destiny Bond,Ghost,EOT,,,,,Status,"Burst 10, Friendly","All enemy targets in the burst become Bound to the user until the end of the user's next turn. If a Bound target causes the user to Faint through a Damaging Attack, the Bound target immediately faints after their attack is resolved.",core,377,False
detect,Detect,Fighting,Scene,,,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may use Detect. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects.",core,364,False
diamond-storm,Diamond Storm,Rock,Scene,3,10,3d8+10,24,Physical,"Close Blast 3, Friendly, Smite","On Even-Numbered Rolls, Diamond Storm raises the User's Defense by 1 Combat Stage.",core,426,False
dig,Dig,Ground,EOT,2,8,2d8+10,19,Physical,"Burst 1, Set-Up, Full Action, Groundsource","The user shifts 25 meters underground and their turn ends. The user may shift horizontally using their burrow or overland speed, and then shifts 25 meters straight up. Upon reaching the surface, the user attacks with Dig, creating a Burst 1.",core,385,False
disable,Disable,Normal,Scene,,,,,Status,"1 Target, Trigger",Disable may be used as a Free Action that does not take up a Command whenever the user is hit by a Move. That Move becomes Disabled for the attacker.,core,394,False
disarming-voice,Disarming Voice,Fairy,At-Will,,4,1d8+6,11,Special,Burst 1,Disarming Voice cannot miss.,core,360,False
discharge,Discharge,Electric,EOT,2,8,2d8+10,19,Special,All Cardinally Adjacent Targets,Discharge Paralyzes all legal targets on 15+.,core,356,False
dive,Dive,Water,Scene x2,2,8,2d8+10,19,Physical,"Burst 1, Set-Up, Full Action","The user moves underwater and their turn ends. The user must be in water at least 10 meters deep to use Dive. While underwater, the user may not be targeted by Moves. The user may shift horizontally using their underwater speed, and then may shift straight up until reaching a target. The user then attacks with Dive, creating a Burst 1.",core,433,False
dizzy-punch,Dizzy Punch,Normal,At-Will,2,7,2d6+10,17,Physical,"Melee, 1 Target",Dizzy Punch Confuses the target on 17+,core,394,False
doom-desire,Doom Desire,Steel,Scene x2,,14,4d10+15,40,Special,"10, 1 Target","Doom Desire does nothing on the turn it is used. At the end of the user's next turn, Doom Desire hits, even if the user is no longer on the field. Doom Desire cannot miss.",core,429,False
double-hit,Double Hit,Normal,EOT,3,4,1d8+6,11,Physical,"Melee, 1 Target, Double Strike",None,core,395,False
double-iron-bash,Double Iron Bash,Steel,Scene x2,2,6,2d6+8,15,Physical,"Melee, 1 Target, Double Strike",Double Iron Bash Flinches the targets on 15+. This move is affected by Iron Fist.,new,15,False
double-kick,Double Kick,Fighting,At-Will,3,3,1d6+5,9,Physical,"Melee, 1 Target, Double Strike",None,core,364,False
