id,name,frequency_action_text,trigger_text,target_text,effect_text,source_id,source_page,needs_review
bad-dreams,Bad Dreams,At-Will - Swift Action,,,"All Sleeping targets within 5 meters lose a Tick of Hit Points. If at least one target lost Hit Points this way, the user gains a tick of Temporary Hit Points.",feb2016,3,False
ball-fetch,Ball Fetch,"Scene - Free Action, Reaction",A Pokémon is Released onto the battlefield,,The user may move up to their speed as a Free Action. They must end this movement closer to the triggering Pokémon.,new,1,False
battery,Battery,Scene x2 - Swift Action,,An Adjacent Ally,"The target's next Special Attack deals +2d6+4 damage. If that attack is Electric-Typed, it deals +3d6+6 more damage instead.",sumo,1,False
battle-armor,Battle Armor,Static,,,The user is immune to Critical Hits; they are instead normal hits. Defensive.,core,312,False
beam-cannon,Beam Cannon,Static,,,"The Effect Range and Critical Hit Range of the user's Ranged, 1-Target Moves are increased by 3.",core,312,False
beast-boost,Beast Boost,At-Will - Free Action,The user's Damaging Attack causes an opponent to Faint,,The user receives +1 Combat Stage in their highest non-HP stat.,sumo,1,False
beautiful,Beautiful,Scene - Standard Action,,,"The user may activate Beautiful to either gain +2 Beauty Dice in a Contest, or to gain +1 Special Attack Combat Stage and cure all allies within 5 meters of the Enraged Condition.",feb2016,3,False
berry-storage,Berry Storage,Daily - Extended Action,The user eats a Berry,,The user gains 3 instances of the Berry's Digestion Buff instead of 1. It may only trade in one of these Digestion Buffs each Scene. Neither storing nor trading in these Digestion Buffs counts against the user's normal limits. All Digestion Buffs gained from Berry Storage are lost after an Extended Rest.,core,312,False
berserk,Berserk,At-Will - Free Action,"The user's drops to half HP or below for the first time in an encounter, or becomes Enraged",,The user receives +1 Special Attack Combat Stage.,sumo,1,False
big-pecks,Big Pecks,Static,,,The user cannot have its Defense Stat lowered. The user cannot have its Defense Combat Stages lowered. Defensive.,core,312,False
big-swallow,Big Swallow,Static,,,"Connection - Stockpile. Whenever the user uses Swallow or Spit Up, it may treat the Stockpile Count as if it was one higher. This Ability has no effect if the Stockpile Counter is already 3.",core,312,False
blaze,Blaze,Static,,,The user gains Last Chance with Fire.,core,312,False
blessed-touch,Blessed Touch,Daily x2 - Standard Action,,,An adjacent Pokémon or Trainer gains Hit Points equal to 1/4th of its maximum Hit Points.,core,312,False
blow-away,Blow Away,Static,,,"Connection - Whirlwind. When the user uses Whirlwind, all targets hit are pushed an additional 2 meters and lose a Tick of Hit Points.",feb2016,3,False
blur,Blur,Static,,,"Attacks and Moves targeting you that don't require an Accuracy Check now require one, as though they had an Accuracy Check of 2. You may only apply half of your Evasion to these Attacks and Moves. Defensive.",core,312,False
bodyguard,Bodyguard,Scene x2 - Free Action,An adjacent Ally is hit by an attack,,"The user and the triggering Ally switch places, and the user becomes the target of the triggering attack instead, taking damage from the attack as if resisted one step further. If switching places would not move the triggering Ally out of the area-of-effect of a Burst, Blast, Cone, or Line, this Ability does not prevent the ally from being hit. Defensive.",feb2016,3,False
bone-lord,Bone Lord,At-Will - Free Action,"You hit with Bone Club, Bonemerang, or Bone Rush",,"Connection - Bonemerang. Once per Scene per Move, the following Moves may be used as if they had the following bonuses: - Bone Club: Bone Club's target loses 1 Defense and Special Attack CS. - Bonemerang: Has a Range of Line 6 but loses the Double Strike keyword - Bone Rush: Bone Rush automatically ‘hits' four times (as per the Five Strike keyword).",feb2016,3,False
bone-wielder,Bone Wielder,Static,,,"The user's Bone Club, Bonemerang, and Bone Rush Moves ignore immunity against Ground-Type Moves.",feb2016,4,False
brimstone,Brimstone,Static,,,"Whenever the user inflicts Burn or Poison with a damaging Fire-Type or Poison-Type Attack, the target becomes both Burned and Poisoned.",feb2016,4,False
bulletproof,Bulletproof,Static,,,"The user resists all X target ranged attacks one step further. This refers to attacks and Moves that simply hit one target or specify hitting multiple targets, such as Razor Wind hitting three targets. It has no effect on Moves that are capable of hitting multiple targets through areas of effect, such as Bursts or Cones. Defensive.",core,313,False
bully,Bully,Scene - Free Action,The user hits a target for Super-Effective Damage with a Melee Move,,"The target of the attack is pushed 2 Meters, becomes Tripped, and gains an Injury.",core,313,False
cave-crasher,Cave Crasher,Static,,,The user resists Ground-Type and Rock-Type attacks one step further. Defensive.,core,313,False
celebrate,Celebrate,At-Will - Swift Action,The user hits a foe with a damaging attack,,The user may immediately Disengage as a Free Action.,feb2016,4,False
chemical-romance,Chemical Romance,Static,,,"Connection - Sweet Scent. Whenever the user hits a male target with Poison Gas, Smog, Sweet Scent, Toxic, or Venom Drench, that target becomes Infatuated with the user.",sumo,2,False
cherry-power,Cherry Power,Daily - Swift Action,,,"The user gains 15 Temporary Hit Points, and is cured of all Persistent Status Afflictions.",core,313,False
chlorophyll,Chlorophyll,Static,,,"While in Sunny Weather or under 50% Max Hit Points, the user's Initiative is doubled.",feb2016,4,False
clay-cannons,Clay Cannons,At-Will - Swift Action,,,"Until the end of the round, the user may originate any Ranged Move they use from any square within 2 meters of itself.",feb2016,4,False
clear-body,Clear Body,Static,,,"The user's Combat Stages may not be lowered by the effect of foes' Feautres, Abilities, or Moves. Status Affictions may still alter their Combat Stages. Defensive.",core,313,False
cloud-nine,Cloud Nine,Scene - Free Action,,,The weather of the field is set to normal.,core,313,False
cluster-mind,Cluster Mind,Static,,,The user's Move Pool limit is increased by +2.,core,313,False
color-change,Color Change,At-Will - Free Action,The user is hit by a Move,,The user's Type changes to match the Type of the triggering Move.,core,313,False
color-theory,Color Theory,Static,,,"Upon gaining this ability at Birth, the user rolls 1d12 to determine the color of their tail secretions. 1 = Red; 2 = Red-Orange; 3 = Orange; 4 = Yellow- Orange; 5 = Yellow; 6 = Yellow-Green; 7 = Green; 8 = Blue-Green; 9 = Blue; 10 = Blue-Violet; 11 = Violet; 12 = Red-Violet. Red is tied to Attack, Orange is tied to Defense, Yellow is tied to Special Attack, Green is tied to Special Defense, Blue is tied to Speed, Violet is tied to HP. Users with a ""Pure"" Color (Red, Orange, Yellow, etc) gain a +6 Bonus to the Base Stat tied to their color. Users with a ""Mixed"" Color (Red-Orange, Yellow-Orange, etc) gain a +3 Bonus to each Stat tied to the color.",core,313,False
comatose,Comatose,At-Will - Move Action,,,"The user falls Asleep, and regains a Tick of Hit Points.",sumo,2,False
combo-striker,Combo Striker,At-Will - Free Action,"The user rolls a natural 1, 10, or 11 on an attack roll with a damaging move",,"After the triggering attack is resolved, the user may use a Struggle Attack as a Free Action. Note: Yes, Struggle Attacks made due to Combo Striker may trigger Combo Striker.",feb2016,12,False
competitive,Competitive,Static,,,"Whenever the user has its Combat Stages lowered, by something other than its own Moves or Abilities, the user's Special Attack is raised 2 Combat Stages.",core,314,False
compound-eyes,Compound Eyes,Static,,,The user gains a +3 Bonus to all Accuracy Rolls.,core,314,False
confidence,Confidence,Scene - Standard Action,,,Choose a Combat Stat. All allies within 5 meters of the user gain +1 CS in the Chosen Stat.,core,314,False
conqueror,Conqueror,Scene - Free Action,The user causes a foe to Faint by using a damaging Physical or Special Attack,,"The user's Attack, Special Attack, and Speed gain +1 Combat Stage.",core,314,False
contrary,Contrary,Static,,,"If something would raise the user's Combat Stages, it instead lowers the user's Combat Stages by the same amount. If something would lower the user's Combat Stages, it instead raises the user's Combat Stages by the same amount.",core,314,False
copy-master,Copy Master,Static,,,"Connection - Copycat. Whenever the user uses Copycat or Mimic, it gains +1 Combat Stage in a Stat of its choice after the Move is resolved.",core,314,False
corrosion,Corrosion,Static,,,"The user's Poison-Type attacks are resisted one step less, and deal damage to Immune targets as if they were doubly resisted. The user may Poison and Badly Poison Steel and Poison-Type Pokémon.",sumo,2,False
corrosive-toxins,Corrosive Toxins,Scene - Free Action,,,"Connection - Toxic. The user may activate this Ability when using Toxic to allow the Move to ignore Immunity to the Status Affliction, Blessings, and the effects of Abilities that may prevent Hit Point loss from being Badly Poisoned (such as Magic Guard or Poison Heal).",core,314,False
cotton-down,Cotton Down,"Scene - Free Action, Reaction",The user is hit by an attack,,"All Pokémon in a Burst 1 around the user have their speed lowered by 1 CS, and are Slowed for one full round.",new,1,False
courage,Courage,Static,,,"While at or under 1/3rd of its Max Hit Point value, the user gains a +5 Damage Bonus to all Damage Rolls, and 5 Damage Reduction. Defensive.",core,314,False
covert,Covert,Static,,,"If this Pokémon is standing on a terrain related to its natural habitat, its Evasion is increased by +2. For Ice types, this is generally snowy or icy terrain; Ground and Ground types are apt to feel at home in sandy terrain or craggy rocks; Grass types, Bug Types, and others likely feel at home in long grass. Some Pokémon may be at home in several types of terrain.",core,314,False
cruelty,Cruelty,Scene - Swift Action,The user hits a foe with a damaging attack,,"After Damage is Resolved, the foe gains an Injury. The user is then informed of the total number of Injuries currently on the target, and may use that number to ""purchase"" the effects listed below. »» 1 Injury: The target loses 2 Hit Points. May be ""pur- chased"" multiple times. »» 1 Injury: The target is Slowed. »» 2 Injuries: Until the end of the encounter, the target may not gain Hit Points or Temporary Hit Points from any source. This effect ends if the target is switched out or Takes a Breather.",core,314,False
crush-trap,Crush Trap,Static,,,"Connection - Wrap. As long as the user has Dominance in a Grapple, they do not become Vulnerable because of that Grapple. If the user begins their turn as part of a Grapple and has Dominance, they may use the actions listed in the Grapple Maneuver as a Swift Action instead of a Full Action. New/Altered Edges Basic Runes Prerequisites: Novice Occult Education",edit,,True
cursed-body,Cursed Body,Scene - Free Action,The user is hit by a Damaging Move.,,The Move becomes Disabled.,core,314,False
cute-charm,Cute Charm,Scene - Free Action,A foe of the opposite gender attacks the user with a Melee Attack,,The foe becomes Infatuated.,core,314,False
cute-tears,Cute Tears,Scene - Free Action,The user is hit by a Damaging Attack,,The attacking foe loses 2 Combat Stages in the Attack Stat used by the triggering Move.,core,314,False
damp,Damp,Static,,,"Whenever anyone within 10 meters would use the Moves Self-Destruct or Explosion or activate the Aftermath Ability, those effects fail and instead do nothing.",feb2016,4,False
dancer,Dancer,Scene x2 - Free Action,Someone within 10 meters uses a Status- Class Dance Move,,The user may immediately use the triggering Move as a Free Action.,sumo,2,False
danger-syrup,Danger Syrup,Scene - Free Action,The user is hit by an attack,,"Connection - Sweet Scent. When this Ability is activated the user may use Sweet Scent as a Free Action, ignoring Frequency. Whenever the user hits a foe with Sweet Scent, that foe is Blinded for 1 full round.",feb2016,4,False
dark-art,Dark Art,Static,,,The user gains Last Chance with Dark.,core,315,False
dark-aura,Dark Aura,Static,,,The user and all allies have the Damage Base of their damaging Dark Type Attacks increased by +1.,core,315,False
dauntless-shield,Dauntless Shield,Static,,,The user's default Defense Combat Stages are increased by +1.,new,1,False
daze,Daze,Scene - Standard Action,,,"Make an AC4 Status Attack against a target within 6 meters. If you hit, the target falls asleep.",core,315,False
dazzling,Dazzling,Scene x2 - Swift Action,,An Adjacent Foe,"For the rest of the Scene, the target's Initiative is lowered by 10 and cannot use Priority Moves.",sumo,2,False
deadly-poison,Deadly Poison,Daily - Free Action,The user Poisons a target,,The target is Badly Poisoned instead.,core,315,False
decoy,Decoy,Scene - Full Action,,,"The user uses the Move ""Follow Me"" as if it was on their Move List, and their Evasion is raised by +2 until the end of their next turn.",core,315,False
deep-sleep,Deep Sleep,Static,,,"When asleep, this Pokémon restores a Tick of Hit Points at the end of each turn.",core,315,False
defeatist,Defeatist,Static,,,"The user gain a +2d6 Bonus to Damage Rolls while over 50% of its Maximum Hit Points. While at 50% Max Hit Points or lower, the user gains a -5 penalty to Damage Rolls and +10 Initiative.",feb2016,4,False
defiant,Defiant,Static,,,"Whenever the user has its Combat Stages lowered, by something other than its own Moves or Abilities, the user's Attack is raised 2 Combat Stages.",core,315,False
defy-death,Defy Death,At-Will - Swift Action,,,"The user instantly removes up to three injuries, and gains a Tick of Hit Points for each injury removed this way. Defy Death may be used to cure up to three Injuries per day. Injuries removed this way do not count towards the total number of injuries that can be healed per day.",feb2016,4,False
delayed-reaction,Delayed Reaction,Scene - Free Action,The user is hit by a direct damaging attack,,"Halve the damage taken by the user. At the end of the user's next turn, the user loses Hit Points equal to the other half of the damage. For example, if the user is hit for 11 damage and triggers this Ability, the user would take 5 damage upon being hit and 6 damage at the end of its next turn. Defensive.",core,315,False
delivery-bird,Delivery Bird,Static,,,"The user may hold two Held Items at once. Whenever an Ability or Move affects the user's Held Items, you may choose which one is affected.",core,315,False
desert-weather,Desert Weather,Static,,,"The user is immune to Sandstorm Damage, resists Fire-Type Moves in Sunny Weather, and gains a Tick of Temporary Hit Points at the end of each of its turns while in Rainy Weather.",feb2016,4,False
designer,Designer,At-Will - Extended Action,,,"The user is adept at crafting clothes for itself out of common leaves. When activating this ability to create a leaf suit, the user may choose two Types; the user resists the chosen types one step further while wearing that suit. The user may only have one leaf suit at a time, and creating a new suit destroys the old one.",feb2016,12,False
diamond-defense,Diamond Defense,Static,,,"Connection - Stealth Rock. Stealth Rock's Frequency is Scene x2, and the user's Stealth Rocks can be treated as dealing Rock-Type or Fairy-Type Damage, whichever is more effective.",core,315,False
dig-away,Dig Away,Daily - Free Action,,,"Connection - Dig. When hit by a Move, this Pokémon may activate this Feature to use Dig, frequency allowing, as an interrupt to avoid the attack and shift underground immediately. This consumes a command as normal. The terrain must allow for Dig to be used.",core,316,False
dire-spore,Dire Spore,Static,,,"Connection - Spore. Whenever the user hits a target with Spore, that target is also Poisoned.",core,316,False
discipline,Discipline,Scene - Free Action,,,"If the user gains initiative and is Confused, Enraged, Infatuated, or Flinched, they may activate Discipline to cure themselves of any of these conditions.",core,316,False
disguise,Disguise,Daily - Free Action,The user is hit by a Damaging Move.,,The triggering attack instead misses and has no effect. The user then gains +1 CS in a Stat of their choice. Defensive.,sumo,2,False
dodge,Dodge,Daily - Free Action,The user is hit by a Damaging Move,,The triggering Move instead misses. Defensive.,core,316,False
download,Download,Scene - Swift Action,,Trainer or Pokémon,"The target must reveal whether its Defense or Special Defense Stats are lower. If the Defense Stat is lower, the user gains a +1 Attack CS. If the Special Defense Stat is lower, the user instead gains +1 Special Attack CS. If both are tied, the user gains +1 CS to any Stat of their choice.",feb2016,4,False
dream-smoke,Dream Smoke,Scene - Free Action,The user is hit by a Melee Attack,,The attacking foe falls Asleep.,feb2016,12,False
dreamspinner,Dreamspinner,Scene x3 - Swift Action,,,"All Sleeping Foes within 3 meters lose a Tick of Hit Points, and the user gains a Tick of Temporary Hit Points.",feb2016,4,False
drizzle,Drizzle,Scene x3 - Swift Action,,,The Weather changes to be Rainy for 1 full round.,feb2016,4,False
drought,Drought,Scene x3 - Swift Action,,,The Weather changes to be Sunny for 1 full round.,feb2016,4,False
drown-out,Drown Out,Scene x2 - Free Action,A foe uses a Move with the Sonic keyword,,The triggering Move fails and has no effect.,feb2016,4,False
dry-skin,Dry Skin,Static,,,"Whenever the user is hit by a damaging Fire- Type Move or ends their turn in Sunny Weather, they lose a Tick of Hit Points. The user is immune to the damage and effects of Water-Type Moves, and whenever the user is hit by a damaging Water-Type Move or ends their turn in Rainy Weather, they gain a Tick of Hit Points.",core,316,False
dust-cloud,Dust Cloud,Static,,,"Connection - Poison Powder. The user may use Moves with the Powder Keyword as if they had a Range of ""Burst 1"".",feb2016,4,False
early-bird,Early Bird,Static,,,"The user gains a bonus to Initiative equal to half its Speed, and a +3 Bonus on Save Checks against Sleep.",feb2016,4,False
effect-spore,Effect Spore,Scene - Free Action,The user is hit by a Melee Attack,,"Roll 1d6. On a result of 1 or 2, the attacker is Poisoned. On a result of 3 or 4, the attacker is Paralyzed. On a result of 5 or 6, the attacker falls Asleep.",core,316,False
eggscellence,Eggscellence,Static,,,"Connection - Barrage. The user receives STAB when using Barrage and Egg Bomb. If Normal Typed, these Moves deal Damage as if one step more effective on 16+.",feb2016,12,False
electric-surge,Electric Surge,Scene x3 - Swift Action,,,"The Field becomes Electrified, as if affected by the Move Electric Terrain, for one full round.",sumo,2,False
electrodash,Electrodash,Scene x2 - Swift Action,,,The user may make a Sprint Action as a Free Action.,feb2016,5,False
emergency-exit,Emergency Exit,Scene - Free Action,,,"When the user's Hit Points drop below half their maximum, their trainer may immediately recall the user and send out another Pokémon as a Free Action. If the user hasn't taken their turn yet, their replacement may act this round. Defensive.",sumo,2,False
empower,Empower,Scene - Swift Action,,,The user may use a self-targeting Status-Class Move as a Free Action.,feb2016,12,False
enduring-rage,Enduring Rage,Static,,,"The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged, the user gains 5 Damage Reduction.",core,316,False
enfeebling-lips,Enfeebling Lips,Static,,,"Connection - Lovely Kiss. Whenever the user uses the Move Lovely Kiss, they may choose a Stat. If the Move successfully hits, the Pokémon or Trainer being targeted loses 2 Combat Stages in that Stat.",core,316,False
exploit,Exploit,Static,,,"Whenever you deal Super-Effective Damage to a target, that target treats your Damage Roll as it were increased by +5. Ability List: F-K",core,317,False
fabulous-trim,Fabulous Trim,Static,,,Furfrou's Ability depends on its current hairstyle. A Furfrou's hairstyle can be changed as an Extended Action at an appropriate hair parlor. Star Trim: Celebrate Diamond Trim: Defiant Heart Trim: Cute Tears Pharaoh Trim: Sand Veil Kabuki Trim: Inner Focus La Reine Trim: Intimidate Matron Trim: Friend Guard Dandy Trim: Moxie Debutante Trim: Confidence,core,317,False
fade-away,Fade Away,"Scene - Standard Action, Interrupt",,,"The user becomes Invisible until the beginning of their next turn, and may immediately Shift. This Ability may be activated as an Interrupt when hit by a Physical attack; the user may declare the use of Fade Away to avoid all damage and/or effects of the move. Defensive.",core,317,False
fairy-aura,Fairy Aura,Static,,,The user and all allies have the Damage Base of their damaging Fairy Type Attacks increased by +1.,core,317,False
fashion-designer,Fashion Designer,Daily - Extended Action,,,The user knows how to make useful accessories from mere common leaves. The user may craft one of the consumable Held Items below by activating this ability. Lucky Leaf - Grass Type Booster for one encounter. Tasty Reeds - Bug Type Booster for one encounter. Dew Cup - Same Effect as an Occa Berry. Thorn Mantle - Same Effect as a Coba Berry. Chewy Cluster - Same Effect as Leftovers. Decorative Twine - Roll +2d6 on any Move during a Contest.,core,317,False
fiery-crash,Fiery Crash,Static,,,"Whenever the user uses a Move with the Dash keyword, they may either increase that Move's Damage Base by +2, or change the Move to be Fire-Type if it was not already. All Moves with the Dash keyword performed as Fire-Typed burn their target on 19+, or increase the effect range by +2 if they could already inflict Burn.",core,317,False
filter,Filter,Static,,,The user gains +5 Damage Reduction against Super- Effective damage. Defensive.,feb2016,5,False
flame-body,Flame Body,Scene - Free Action,The user is hit by a Melee Attack,,The attacking foe becomes Burned.,core,317,False
flame-tongue,Flame Tongue,Scene - Free Action,The user hits a foe with Lick.,,Connection - Lick. The foe hit with Lick gains an Injury and becomes Burned.,core,317,False
flare-boost,Flare Boost,Scene - Swift Action,,,The user gains +3Attack and Special Attack Combat Stages. Flare Boost may only be used while Burned.,feb2016,5,False
flash-fire,Flash Fire,Static,,,"The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type attack, they gain +1 CS in their choice of Attack or Special Attack. Defensive.",feb2016,5,False
flavorful-aroma,Flavorful Aroma,At-Will - Free Action,The user uses Aromatic Mist,,Connection - Aromatic Mist. All allies affected by Aromatic Mist gain +1 to Accuracy Rolls and +5 to Damage Rolls for one full round.,new,1,False
flower-gift,Flower Gift,Scene - Swift Action,,,"Flower Gift may only be used if the Weather is Sunny or if the user is under 50% Hit Points. When activated, the user may pick two Stats, gaining +2 Combat Stages in each Stat. All targets within 2 meters also gain +1 Combat Stage in each of the chosen Stats.",feb2016,5,False
flower-power,Flower Power,Static,,,The user may perform damaging Grass Type Moves as if they were their choice of either Physical or Special.,feb2016,12,False
flower-veil,Flower Veil,Static,,,Grass-Type Pokemon within 5 meters cannot have their Combat Stages lowered.,feb2016,5,False
fluffy,Fluffy,Static,,,"The user resists damaging Melee attacks one step further, but resists Fire-Type attacks one step less. Defensive.",sumo,2,False
fluffy-charge,Fluffy Charge,Static,,,"Connection - Charge. Whenever the user uses Charge, they gain +1 CS to Defense.",core,317,False
flutter,Flutter,At-Will - Shift Action,,,"The user gains +3 Evasion until the end of their next turn, and cannot be Flanked.",core,318,False
flying-fly-trap,Flying Fly Trap,Static,,,The Pokémon takes no damage from Ground Type Moves and Bug Type Moves. Defensive.,core,318,False
focus,Focus,Static,,,The user gains Last Chance with Fighting.,core,318,False
forecast,Forecast,Static,,,"The user's Type changes depending on the weather. It changes to Fire Type if it is Sunny, Ice Type if it is Hailing, Water Type if it is Rainy, and Rock Type if there is a Sandstorm. It returns to Normal Type if it is in normal weather or foggy weather. If there are multiple Weather Effects on the field, choose one type for the user to be that corresponds with an existing Weather Effect.",core,318,False
forest-lord,Forest Lord,Scene x2 - Shift Action,,,"This turn, the user may originate a Grass or Ghost-Typed Move from any fully grown tree within 10 meters. Moves performed this way gain a +2 Bonus on their Accuracy Roll.",core,318,False
forewarn,Forewarn,Scene - Free Action,,A Pokémon or Trainer,"The Move with the highest Damage Dice Roll known by the targeted foe is revealed. If there is a tie, all tied Moves are revealed. The Moves revealed gain a -2 Penalty during Accuracy Checks when used by the target for the rest of the encounter.",core,318,False
fox-fire,Fox Fire,Scene - Standard Action,,,"Connection - Ember. The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend a Fire Wisp as to use the Move Ember against that foe as a Free Action after the triggering Move is resolved.",feb2016,5,False
freezing-point,Freezing Point,Static,,,The user gains Last Chance with Ice.,core,318,False
friend-guard,Friend Guard,Scene - Free Action,An adjacent Ally takes Damage,,The damage is resisted one step further. Defensive.,core,318,False
frighten,Frighten,Scene - Swift Action,,A Pokémon or Trainer within 5 meters,Lower the target's Speed 2 Combat Stages.,core,318,False
frisk,Frisk,Static,,,The user gains a +2 Bonus to all Accuracy Rolls against adjacent targets.,sumo,6,False
frostbite,Frostbite,Static,,,"The user's damaging Ice-Type attacks cause the target to become Slowed on 18+, and the Effect Range for Freeze on these Moves is increased by +1. If the Move does not cause Freezing, it now causes Freezing on a roll of 20.",core,319,False
full-guard,Full Guard,Scene - Swift Action,You take Damage while having Temporary Hit Points,,You resist the triggering Damage one step further.,feb2016,12,False
full-metal-body,Full Metal Body,Static,,,"The user's Combat Stages may not be lowered by the effect of foes' Features, Abilities, or Moves. Status Afflictions may still alter their Combat Stages. Defensive.",sumo,2,False
fur-coat,Fur Coat,Static,,,The user resists all Physical Attacks one step further. Defensive.,core,319,False
gale-wings,Gale Wings,Static,,,Connection - Quick Attack. The user may use Quick Attack as a Flying-Type Move.,sumo,6,False
galvanize,Galvanize,At-Will - Free Action,The user uses a Normal-Type damaging Move,,The Move is changed to be Electric-Type.,sumo,2,False
gardener,Gardener,Daily x3 - Extended Action,,A yielding plant,"Increase the soil quality of the plant by +1, as if Mulch had been applied. This may target a specific Plant only once per day.",core,319,False
gentle-vibe,Gentle Vibe,Scene - Standard Action,,,"All targets in the burst, including the user, have their Combat Stages reset, and are cured of any Volatile Status ailments.",core,319,False
giver,Giver,Scene x2 - Swift Action,,,"Connection - Present. After rolling to determine Present's Damage Base, you may choose to ignore the roll and act as if you had rolled a 1 or a 5.",feb2016,12,False
glisten,Glisten,Static,,,The user is immune to Fairy-Type attacks. Defensive.,sumo,2,False
gluttony,Gluttony,Static,,,"The user may have up to three Food Buffs at once, use up to three Food Buffs per Scene, and may eat two refreshments per half hour.",feb2016,5,False
gooey,Gooey,At-Will - Free Action,The user is hit by a Melee Attack,,The triggering attacker has their Speed lowered by 1 Combat Stage.,core,319,False
gore,Gore,Scene x2 - Swift Action,The user uses Horn Attack,,"Connection - Horn Attack. Horn Attack gains the Double Strike keyword, and pushes its target 2 meters.",feb2016,5,False
gorilla-tactics,Gorilla Tactics,Scene - Swift Action,The user uses a Move,,"The user gains a +10 bonus to damage rolls until the end of the Scene, including on the triggering Move. However, until the end of the Scene, they may only use Moves that they have already used in this Scene before triggering this Ability (the triggering Move is included in those usable).",new,1,False
grass-pelt,Grass Pelt,Scene - Swift Action,,,The user gains two ticks worth of Temporary Hit Points.,feb2016,5,False
grassy-surge,Grassy Surge,Scene x3 - Swift Action,,,"The Field becomes Grassy, as if affected by the Move Grassy Terrain, for one full round.",sumo,2,False
gulp,Gulp,Daily - Extended Action,,,"If the user is allowed to spend time fully submerged in water for at least 10 minutes, they may heal up to 25% of their Max Hit Points, and remove one Injury.",core,319,False
