id,name,prerequisites_text,effect_text,source_id,source_page,needs_review
skill-stunt,Skill Stunt,Prerequisites: A Skill at Novice Rank or higher,"Choose a Skill you have at Novice Rank or higher. Choose a specific use of that Skill; when rolling that skill under those circumstances, you may choose to roll one less dice, and instead add +6 to the result. You may take this Edge multiple times, choosing a different circumstance each time.",core,52,False
slippery,Slippery,Prerequisites: Novice Stealth,"You may use your Stealth Skill when defending in Opposed Grapple, Push, or Trip checks. When Grappling, if you win an Opposed Check when using Stealth, you must choose to end the Grapple (you cannot choose to gain Dominance).",core,55,False
smooth,Smooth,Prerequisites: Expert Charm or Expert Focus,"You gain +4 Evasion against Moves with the Social keyword, and gain a +2 Bonus on Save Checks against Rage and Infatuation.",core,55,False
sneaks-tricks,Sneak's Tricks,Prerequisites: Adept Stealth,You learn the Move Astonish.,core,55,False
stamina,Stamina,Prerequisites: Expert Athletics or Expert Combat,"Whenever you Take a Breather or take Massive Damage or a Critical Hit, you gain Temporary Hit Points equal to your Athletics or Combat Rank after the triggering action has resolved.",core,55,False
survival-drive,Survival Drive,Prerequisites: Adept Survival,You learn the Move Bulk Up.,core,55,False
swimmer,Swimmer,Prerequisites: Novice Athletics or Survival,"You gain a +2 bonus to your Swim Speed. You may spend X minutes underwater before you begin to suffocate, where X is the higher of your Athletics or Survival Ranks.",core,56,False
tag-scribe,Tag Scribe,Prerequisites: Novice Occult Education,You create a Cleanse Tag. This may be used a number of times each day equal to half your Occult Education Rank.,core,53,False
throwing-masteries,Throwing Masteries,Prerequisites: Adept Acrobatics,"Increase the Throwing Range of your Poké Balls, Ranged Weapons, and other small items by +2.",core,55,False
train-the-reserves,Train the Reserves,Prerequisites: Novice Command,"You may apply Experience Training to a number of Pokemon equal to twice your Command Rank, in- stead of equal to your Command Rank. Note: Beast Master or Groomer do not change the Skill that this Edge uses.",core,54,False
trainer-of-champions,Trainer of Champions,Prerequisites: Expert Command,"Whenever you apply Experience Training to a Pokemon, they gain an additional +5 Experience.",core,54,False
traveler,Traveler,Prerequisites: Novice Survival,"You may use Survival instead of Athletics and Acrobatics to determine your Power Capability, High Jump, and Long Jump values. Determine your Overland Movement by substituting your Survival Rank for the lower of your Athletics or Acrobatics Rank.",core,56,False
virtuoso,Virtuoso,"Prerequisites: A Skill at Master Rank, Level 20","Choose a Skill at Master Rank. Consider that Skill to be effectively ""Rank 8"" for any Features or effects that depend on Skill Rank. Virtuoso may be taken multiple times, but you must choose a different Skill each time.",core,52,False
wallrunner,Wallrunner,Prerequisites: Expert Acrobatics,You may run on vertical surfaces both vertically and horizontally for up to your Acrobatics Rank in meters before jumping off.,core,56,False
weapon-of-choice,Weapon of Choice,Prerequisites: A Feature with the [Weapon] tag,"Choose a specific weapon type. You gain a +2 Bonus on Opposed Rolls to prevent being disarmed while wielding weapons of your chosen type. If you would be disarmed anyway, you may pay 1 AP to prevent yourself from being Disarmed.",core,55,False
work-up,Work Up,Prerequisites: Adept Focus,You learn the Move Work Up.,core,55,False
