id,name,parent_class,section,tags,prerequisites_text,activation_text,effect_text,source_id,source_page,needs_review
darkrais-major-gift-bad-dreams,Darkrai's Major Gift - Bad Dreams,Legendary Gifts,Legendary Advancement,[],"Prerequisites: Major Gift - Oneiromancy, Major Gift -",Dream Augury Static,You gain the Bad Dreams Ability.,blessed,65,False
darkrais-pact-gift-dark-void,Darkrai's Pact Gift - Dark Void,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Bad Dreams,Static,You learn the Move Dark Void.,blessed,65,False
dialgas-major-gift-probability-control,Dialga's Major Gift - Probability Control,Legendary Gifts,Legendary Advancement,[],Prerequisites: Perfect Timing,Static,You gain the Probability Control Ability.,blessed,64,False
dialgas-major-gift-time-stop,Dialga's Major Gift - Time Stop,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Realm Portal,"Daily - Swift Action, Interrupt",Take an additional Shift Action and Standard Action.,blessed,64,False
dialgas-minor-gift-perfect-timing,Dialga's Minor Gift - Perfect Timing,Legendary Gifts,Legendary Advancement,[],Prerequisites: GM Permission,Static,You always intuitively know what time it is and can accurately act as a human stopwatch.,blessed,64,False
dialgas-pact-gift-roar-of-time,Dialga's Pact Gift - Roar of Time,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Dialga and Shared Creation Trio,Major Gifts Static,You learn the Move Roar of Time,blessed,64,False
enteis-major-gift-flash-fire,Entei's Major Gift - Flash Fire,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Elemental Soul,Static,You gain the Flash Fire Ability.,blessed,58,False
giratinas-major-gift-banish,Giratina's Major Gift - Banish,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Realm Portal,Daily - Standard Action,"Remove a single Target within 8 meters from the encounter for 1d2+1 rounds. The Target experiences no loss of time. They reappear in the same spot that they disappeared from, or in the nearest unoccupied space.",blessed,64,False
giratinas-major-gift-pressure,Giratina's Major Gift - Pressure,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Death Sense,Static,You gain the Pressure Ability.,blessed,64,False
giratinas-minor-gift-death-sense,Giratina's Minor Gift - Death Sense,Legendary Gifts,Legendary Advancement,[],Prerequisites: GM Permission,Static,"When encountering a corpse, you can always tell how many hours ago the Pokémon or Trainer has died, for up to a week after their death.",blessed,64,False
giratinas-pact-gift-shadow-force,Giratina's Pact Gift - Shadow Force,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Giratina and Shared Creation Trio,Major Gifts Static,You learn the Move Shadow Force.,blessed,64,False
groudons-major-gift-drought,Groudon's Major Gift - Drought,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Landmaster,Static,You gain the Drought Ability.,blessed,63,False
groudons-major-gift-earthshaker,Groudon's Major Gift - Earthshaker,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Landmaster,Static,You gain the Groundshaper Capability.,blessed,63,False
groudons-major-gift-magma-spirit,Groudon's Major Gift - Magma Spirit,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Landmaster,Daily - Standard Action,"For the next three rounds, foes within 6 meters of you do not gain the benefits of Sunny Day. Their Fire Type Moves do not deal extra damage, Solar Beam retains the default charge time, Abilities based on Sunny Weather do not activate, and Moves such as Synthesis do not gain added benefit. All detrimental effects of Sunny Day still apply.",blessed,63,False
groudons-minor-gift-landmaster,Groudon's Minor Gift - Landmaster,Legendary Gifts,Legendary Advancement,[],Prerequisites: GM Permission,Static,You treat Rough Terrain that is rocky or sandy or that is created by Groundshaper as Regular Terrain.,blessed,63,False
groudons-pact-gift-eruption,Groudon's Pact Gift - Eruption,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Groudon Major Gifts,Static,You learn the Move Eruption.,blessed,63,False
ho-ohs-major-gift-ashes-of-the-phoenix,Ho-oh's Major Gift - Ashes of the Phoenix,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Tower's Rejuvenation,Daily - Standard Action,Treat the target as if you had used a Revive on it. The target regains 25% of its maximum HP.,blessed,62,False
ho-ohs-pact-gift-sacred-fire,Ho-oh's Pact Gift - Sacred Fire,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Ho-oh and Shared Tower Duo Major,Gifts Static,You learn the Move Sacred Fire.,blessed,62,False
kyogres-major-gift-aqua-spirit,Kyogre's Major Gift - Aqua Spirit,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Seamaster,Daily - Standard Action,"For the next three rounds, foes within 6 meters of you do not gain the benefits of Rain Dance. Their Water Type Moves do not deal extra damage, Hurricane and Thunder retain their usual Accuracy Check, Abilities based on Rainy Weather do not activate, and Moves such as Weather Ball do not gain added benefit. All detrimental effects of Rain Dance still apply.",blessed,63,False
kyogres-major-gift-drizzle,Kyogre's Major Gift - Drizzle,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Seamaster,Static,You gain the Drizzle Ability.,blessed,63,False
kyogres-major-gift-wavecrasher,Kyogre's Major Gift - Wavecrasher,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Seamaster,Static,You gain the Fountain Capability.,blessed,63,False
kyogres-minor-gift-seamaster,Kyogre's Minor Gift - Seamaster,Legendary Gifts,Legendary Advancement,[],Prerequisites: GM Permission,Static,You treat deep water that you aren't fully submerged in as Regular Terrain.,blessed,63,False
kyogres-pact-gift-water-spout,Kyogre's Pact Gift - Water Spout,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Kyogre Major Gifts,Static,You learn the Move Water Spout.,blessed,63,False
kyurems-major-gift-the-empty-tao,Kyurem's Major Gift - The Empty Tao,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Hero of Balance,Daily - Standard Action,"For the next three rounds, all Pokémon and Trainers within 5 meters of you have all Combat Stages locked to zero.",blessed,67,False
kyurems-major-gift-winters-kiss,Kyurem's Major Gift - Winter's Kiss,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - The Empty Tao,Static,You gain the Winter's Kiss Ability.,blessed,67,False
kyurems-minor-gift-hero-of-balance,Kyurem's Minor Gift - Hero of Balance,Legendary Gifts,Legendary Advancement,[],Prerequisites: GM Permission,Static,Others get a -3 penalty to Intuition Checks to detect your lies or discern your beliefs.,blessed,67,False
kyurems-pact-gift-freeze-shock,Kyurem's Pact Gift - Freeze Shock,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Kyurem and Shared Tao Trio Major,"Gifts, Minor Gift - Hero of Ideals Static",You learn the Move Freeze Shock.,blessed,67,False
kyurems-pact-gift-glaciate,Kyurem's Pact Gift - Glaciate,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Kyurem and Shared Tao Trio Major,Gifts Static,You learn the Move Glaciate,blessed,67,False
kyurems-pact-gift-ice-burn,Kyurem's Pact Gift - Ice Burn,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Kyurem and Shared Tao Trio Major,"Gifts, Minor Gift - Hero of Truth Static",You learn the Move Ice Burn,blessed,67,False
latiass-major-gift-mist-ball,Latias's Major Gift - Mist Ball,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Sight Sharing,Static,You learn the Move Mist Ball.,blessed,59,False
latioss-major-gift-luster-purge,Latios's Major Gift - Luster Purge,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Sight Sharing,Static,You learn the Move Luster Purge.,blessed,59,False
lugias-major-gift-storm-of-the-century,Lugia's Major Gift - Storm of the Century,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Tower's Rejuvenation,Daily - Standard Action,"At the beginning of your next three turns, push all foes within 5 meters of you 1 meter away, and they lose 1/10th of their maximum HP.",blessed,62,False
lugias-pact-gift-aeroblast,Lugia's Pact Gift - Aeroblast,Legendary Gifts,Legendary Advancement,[],Prerequisites: All Lugia and Shared Tower Duo Major,Gifts Static,You learn the Move Aeroblast.,blessed,62,False
major-gift-amorphous,Major Gift - Amorphous,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Alien Countenance,Static,You gain the Amorphous Capability.,blessed,69,False
major-gift-animate,Major Gift - Animate,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Primal Craftsmanship,Daily - Extended Action,"Create a small golem out of the inanimate material of your choice. The material used will determine the Type of the golem. Scrap metal may create a steel type, lava a fire type, and granite a rock type for example. Distribute a number of Stat Points to the golem equal to your Trainer Level. The golem is small size, weight class 1, and has Overland 4, Jump 0/0, Power 2, and Sinker. It can make Struggle Attacks of its Type. The golem must be verbally commanded by you to act. It cannot regain HP and is destroyed upon Fainting. At the end of the day or if you Faint, the golem crumbles and is destroyed.",blessed,66,False
major-gift-aura-break,Major Gift - Aura Break,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - World Serpent's Embrace,Static,You gain the Aura Break Ability.,blessed,68,False
major-gift-barrier,Major Gift - Barrier,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Motherly Compassion,Static,You learn the Move Barrier.,blessed,62,False
major-gift-blaze-armor,Major Gift - Blaze Armor,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Chosen of Victory,"2 AP - Free Action, Interrupt","You take damage from the next Attack that hits you as if you were Fire Type. If the Attack was made in melee range, your attacker loses 1/8th of their maximum HP as a Fire Type effect. Apply weakness and resistance. Do not apply stats.",blessed,66,False
major-gift-clear-body,Major Gift - Clear Body,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Mark of Loyalty,Static,You gain the Clear Body Ability,blessed,59,False
major-gift-corrupt-existence,Major Gift - Corrupt Existence,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Detect Heretic,X AP - Standard Action,"For each AP spent on Corrupt Existence up to a maximum of 3, roll 1d20. The Target becomes one step weaker against a Type for each roll as follows: Bug on a result of 1; Dark on 2; Dragon on 3; Electric on 4; Fighting on 5; Fire on 6; Flying on 7; Ghost on 8; Grass on 9; Ground on 10; Ice on 11; Normal on 12; Poison on 13; Psychic on 14; Rock on 15; Steel on 16; Water on 17; and on a result of 18-20, reroll the 1d20. This effect lasts until the end of the encounter, even if the target is recalled.",blessed,70,False
major-gift-courage,Major Gift - Courage,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Spirit of Justice,Static,You gain the Courage Ability.,blessed,61,False
major-gift-dead-zone,Major Gift - Dead Zone,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Intuitive Sabotage,Daily/15 - Standard Action,"For the next ten minutes, all wireless communication within ten meters of you fails to work. Radios stop receiving, WiFi shuts down, and cell signals fail to reach phones.",blessed,70,False
major-gift-diamond-storm,Major Gift - Diamond Storm,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Magic Bounce,Static,You learn the Move Diamond Storm.,blessed,61,False
major-gift-doom-desire,Major Gift - Doom Desire,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Eye of Truth,Static,You learn the Move Doom Desire.,blessed,59,False
major-gift-dream-augury,Major Gift - Dream Augury,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Dream Mastery,2 AP - Extended Action,"You fall into a deep sleep and dream a dream that portends of things to come. If this Major Gift is gained through Cresselia, you learn hints of a favorable situation that will arise soon. If this Major Gift is gained through Darkrai, you learn hints of a dangerous or mournful situation that will arise soon.",blessed,65,False
major-gift-elemental-manipulation,Major Gift - Elemental Manipulation,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Elemental Soul,,"You gain a Capability based on which Legendary Bird or Beast granted you this Feature. Articuno grants Freezer, Moltres and Entei grant Firestarter, Zapdos and Raikou grant Zapper, and Suicune grants Fountain.",blessed,58,False
major-gift-expanded-horizons,Major Gift - Expanded Horizons,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Twin Souls,Static,"You gain either the Telepath or Telekinetic Capability. If you possess both of these from their respected Trainer Classes, you instead gain the Godslayer Feature.",blessed,69,False
major-gift-eye-of-truth,Major Gift - Eye of Truth,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Watchful Sleep,1 AP - Standard Action,You can determine whether or not a professed,blessed,59,False
major-gift-gentle-vibe,Major Gift - Gentle Vibe,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Motherly Compassion,Static,You gain the Gentle Vibe Ability.,blessed,62,False
major-gift-glitch-message,Major Gift - Glitch Message,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Intuitive Sabotage,2 AP - Standard Action,"You must use Glitch Message targeting one instance of electronic communication you are currently aware of in your vicinity, such as an email being typed at the computer next to you or a text message someone is sending. You may view and edit the contents of the message before it gets electronically transmitted without the sender being aware of an issue. On extended communications such as a phone call or video conference, Glitch Message works on one minute's worth of communication per activation.",blessed,70,False
major-gift-god-crusher,Major Gift - God Crusher,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - World Serpent's Embrace,Static,"You gain the Godslayer Feature. If you already possess the Godslayer Feature, you may instead take another Feature for which you qualify for instead. When using Godslayer, the AC is now 8, and you do not suffer from feedback.",blessed,68,False
major-gift-he-who-cannot-be-shackled,Major Gift - He Who Cannot Be Shackled,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - World Serpent's Embrace,Daily x3 - Free Action,You evade the Status Effect or Combat Maneuver.,blessed,68,False
major-gift-hydration,Major Gift - Hydration,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Sailors' Guardian,Static,You gain the Hydration Ability.,blessed,60,False
major-gift-invert-balance,Major Gift - Invert Balance,Legendary Gifts,Legendary Advancement,[],Prerequisites: One Tao Trio Major Gift,Daily - Standard Action,"The area becomes Inverted for the next 5 rounds. While Inverted, all Pokémon and Trainers have their weaknesses and resistances exchanged. Double resistance and steps of resistance or immunity beyond that become double weaknesses, normal resistances become normal weaknesses, normal weaknesses become normal resistances, and double weaknesses become double resistance.",blessed,66,False
major-gift-knight-of-the-fallen-god,Major Gift - Knight of the Fallen God,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Detect Heretic,Static,"You gain the Giftsapper Feature regardless of prerequisites, and you are not bound by its requirements with respect to Gifts. Giftsapper when gained this way has no effect on Gifts granted by MissingNo.",blessed,70,False
major-gift-lava-blooded,Major Gift - Lava-blooded,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Vulcan's Intuition,"Static | Scene - Free Action, Interrupt Static Effect: You are immune to the ambient heat of volcanic areas. Unless you come into direct contact with molten rock, you will not be harmed. You resist Fire Type Moves by one step. Scene Effect: You may trigger Lava-blooded as an interrupt when you are hit by a Fire Type Move. You take no damage or other effects from the Move, and you make a 1 meter burst. All targets caught in the burst lose 1/16th of their maximum HP.",,blessed,65,True
major-gift-levitate,Major Gift - Levitate,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Cloud Reading,Static,You gain the Levitate Ability.,blessed,61,False
major-gift-life-force,Major Gift - Life Force,Legendary Gifts,Legendary Advancement,[],Prerequisites: Two Major Gifts from the Tower Duo,Static,You gain the Life Force Ability.,blessed,62,False
major-gift-magic-bounce,Major Gift - Magic Bounce,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Royal Privilege,Static,You gain the Magic Bounce Ability.,blessed,61,False
major-gift-magma-armor,Major Gift - Magma Armor,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Vulcan's Intuition,Static,You gain the Magma Armor Ability.,blessed,65,False
major-gift-march-of-the-colossus,Major Gift - March of the Colossus,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Hands of the Creator,2 AP - Standard Action,"For the next three rounds, the target has their Attack and Speed halved. At the end of the third round, increase the target's Attack and Speed by two Combat Stages each.",blessed,66,False
major-gift-mark-of-loyalty,Major Gift - Mark of Loyalty,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Stoic Stature,1 AP - Free Action,Treat the Target as if it were one Loyalty higher for the rest of this turn.,blessed,59,False
major-gift-mental-suggestion,Major Gift - Mental Suggestion,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Expanded Horizons,Daily - Extended Action,"Mental Suggestion requires both you and the Mewtwo you are bound to be in the same vicinity. Make a Focus check as if you were using Telepath. On a success, you instill a thought or action into the Target's mind as if it were one of their own. They may not immediately act on it, and will question it if it is too alien from how they would normally act, but the thought will persist as long as they are unaware of its origin.",blessed,69,False
major-gift-mind-lock,Major Gift - Mind Lock,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Alien Countenance,Static,You gain the Mind Lock Capability.,blessed,69,False
major-gift-mirage,Major Gift - Mirage,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Motherly Compassion,Daily/25 - Standard Action,"You create a small Illusion, covering a cubic area two meters on each side. The Illusion can emulate visual and auditory senses only. Seeing through the Illusion is a DC 15 Perception Check, with a +5 bonus to the check if the Illusion is emulating something very familiar to the observer. The Illusion may be sustained for up to ten minutes as a Swift Action each round.",blessed,62,False
major-gift-oneiromancy,Major Gift - Oneiromancy,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Dream Mastery,Static,You gain the Dream Reader Capability;,blessed,65,False
major-gift-phasing,Major Gift - Phasing,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Alien Countenance,Static,You gain the Phasing Capability.,blessed,69,False
major-gift-primal-craftsmanship,Major Gift - Primal Craftsmanship,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Hands of the Creator,Static,You pay 20% less when crafting items.,blessed,66,False
major-gift-probability-control,Major Gift - Probability Control,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Catastrophe Sense,,You gain the Probability Control Ability.,blessed,59,False
major-gift-pure-breathing,Major Gift - Pure Breathing,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Plant Intuition,Static,"You are immune to the Moves Rage Powder, Poison Gas, Poisonpowder, Sleep Powder, Smog, Smokescreen, Spore, Stun Spore, and Sweet Scent.",blessed,60,False
major-gift-realm-portal,Major Gift - Realm Portal,Legendary Gifts,Legendary Advancement,[],Prerequisites: One Creation Trio Major Gift,Daily - Extended Action,"You open a small portal through your patron's realm to any location you have visited within 20 miles. The portal lasts for two minutes, during which any living thing which voluntarily wishes to enter the portal may do so; any conscious trainers or Pokémon forced through the portal involuntarily will not be affected by the portal. After the two minutes are up or when you step through the portal, it collapses.",blessed,64,False
major-gift-relic-song,Major Gift - Relic Song,Legendary Gifts,Legendary Advancement,[],Prerequisites: Major Gift - Soundproof,Static,You learn the Move Relic Song.,blessed,61,False
major-gift-sacred-sword,Major Gift - Sacred Sword,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Spirit of Justice,Static,You learn the Move Sacred Sword,blessed,61,False
major-gift-searing-blade,Major Gift - Searing Blade,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Chosen of Victory,2 AP - Free Action,Your next Struggle Attack with an equipped weapon deals +2 Damage Steps and deals Fire Type damage.,blessed,66,False
major-gift-seed-flare,Major Gift - Seed Flare,Legendary Gifts,Legendary Advancement,[],"Prerequisites: Major Gift - Pure Breathing, Major Gift",- Sprouter Static,You learn the Move Seed Flare.,blessed,60,False
major-gift-shared-mortality,Major Gift - Shared Mortality,Legendary Gifts,Legendary Advancement,[],Prerequisites: One Mortality Duo Major Gift,Daily x3 - Standard Action,Add your remaining Hit Points with those of your Target. You may split these Hit Points as you wish between you and your Target.,blessed,67,False
major-gift-sight-sharing,Major Gift - Sight Sharing,Legendary Gifts,Legendary Advancement,[],"Prerequisites: Minor Gift - Loyal Heart, *Special",Static,"You must take this Major Gift alongside another person also taking this Major Gift, one of you gaining it through Latias and the other through Latios. The two of you are considered Link Partners. Whenever you wish, you may share your senses with your Link Partner or attempt to use their senses as long as both you and your Link Partner give mental consent and are conscious. You and your Link Partner never hit each other with Area of Effect Moves unless you want to.",blessed,59,False
major-gift-soundproof,Major Gift - Soundproof,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Center Stage,Static,You gain the Soundproof Ability.,blessed,61,False
major-gift-sprouter,Major Gift - Sprouter,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Catastrophe Sense,Static,You gain the Sprouter Capability.,blessed,59,True
major-gift-storm-of-the-fallen-world,Major Gift - Storm of the Fallen World,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Detect Heretic,Scene - Standard Action,"For 5 rounds, the area becomes Bugged. While",blessed,70,False
major-gift-therian-form,Major Gift - Therian Form,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Cloud Reading,Daily - Free Action,"Create an extra stat block for yourself, redistributing any Stat Points you gained from level ups or [+Any Stat] tags as you wish. You may activate this Major Gift during an encounter to swap your stats to the extra stat block for the rest of the encounter. Therian Form may be ended early at any time as a Standard Action. Therian Form automatically deactivates if you Faint. While Therian Form is active, you take on slight Avian, Bestial, or Draconic characteristics depending on your patron Legendary.",blessed,61,False
major-gift-towers-blessing,Major Gift - Tower's Blessing,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Tower's Rejuvenation,1 AP - Free Action,The Move generates one additional use of the Blessing.,blessed,62,False
major-gift-tremorsense,Major Gift - Tremorsense,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Vulcan's Intuition,Static,You gain the Tremorsense Capability.,blessed,65,False
major-gift-victory-star,Major Gift - Victory Star,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Chosen of Victory,Static,You gain the Victory Star Ability.,blessed,66,False
manaphys-major-gift-heart-swap,Manaphy's Major Gift - Heart Swap,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Sailors' Guardian,Static,You learn the Move Heart Swap.,blessed,60,False
mesprits-major-gift-negate-emotion,Mesprit's Major Gift - Negate Emotion,Legendary Gifts,Legendary Advancement,[],Prerequisites: Minor Gift - Emotion's Heart,3 AP - Standard Action,"The Target becomes immune to Enraged, Confused, and Infatuation Status for the remainder of the encounter and are cured of the Status Afflictions if they currently have them. However, the Target is treated as if their Intimidate, Charm, Intuition and Guile Skills were at Pathetic Rank for the next fifteen minutes. The target becomes immune to further uses of Negate Emotion for 24 hours.",blessed,60,False
