id,name,category,price,price_text,consumable,trainer_usable,pokemon_held_usable,equipment_slots,effect_text,source_id,source_page,needs_review
petaya-berry,Petaya Berry,Berry,250,,True,True,True,,+1 Special Attack CS,core,282,False
pinap-berry,Pinap Berry,Berry,150,,True,True,True,,Tough Poffin Ingredient,core,282,False
pomeg-berry,Pomeg Berry,Berry,500,,True,True,True,,HP Suppressant*,core,283,False
qualot-berry,Qualot Berry,Berry,500,,True,True,True,,Defense Suppressant*,core,283,False
rabuta-berry,Rabuta Berry,Berry,250,,True,True,True,,Cures Suppressed condition.,core,282,False
rawst-berry,Rawst Berry,Berry,150,,True,True,True,,"Cures Burn, Smart Poffin Ingredient",core,282,False
razz-berry,Razz Berry,Berry,150,,True,True,True,,Cool Poffin Ingredient,core,282,False
rindo-berry,Rindo Berry,Berry,500,,True,True,True,,Weakens foe's super effective Grass-type move*,core,283,False
roseli-berry,Roseli Berry,Berry,500,,True,True,True,,Weakens foe's supereffective Fairy- type move*,core,283,False
rowap-berry,Rowap Berry,Berry,250,,True,True,True,,Foe dealing Special Damage to the user loses 1/8 of their Maximum HP.,core,282,False
salac-berry,Salac Berry,Berry,250,,True,True,True,,+1 Speed CS,core,282,False
shuca-berry,Shuca Berry,Berry,500,,True,True,True,,Weakens foe's super effective Ground-type move*,core,283,False
sitrus-berry,Sitrus Berry,Berry,250,,True,True,True,,Restores 15 Hit Points,core,282,False
spelon-berry,Spelon Berry,Berry,250,,True,True,True,,Cool or Beauty Poffin Ingredient,core,282,False
starf-berry,Starf Berry,Berry,250,,True,True,True,,+2 CS to a random Stat. May be used only at 25% HP or lower.,core,282,False
tamato-berry,Tamato Berry,Berry,500,,True,True,True,,Speed Suppressant*,core,283,False
tanga-berry,Tanga Berry,Berry,500,,True,True,True,,Weakens foe's super effective Bug-type move*,core,283,False
wacan-berry,Wacan Berry,Berry,500,,True,True,True,,Weakens foe's super effective Electric-type move*,core,283,False
watmel-berry,Watmel Berry,Berry,250,,True,True,True,,Cute or Smart Poffin Ingredient,core,282,False
wepear-berry,Wepear Berry,Berry,150,,True,True,True,,Smart Poffin Ingredient,core,282,False
wiki-berry,Wiki Berry,Berry,250,,True,True,True,,"Dry Treat*, Beauty Poffin Ingredient",core,282,False
yache-berry,Yache Berry,Berry,500,,True,True,True,,Weakens foe's super effective Ice-type move*,core,283,False
caltrops-toxic-caltrops,Caltrops & Toxic Caltrops,Combat Item,,"Caltrops are not usually sold in stores, but may be found from specialty shops for $500",True,True,False,,"These items let the user use the Move Spikes and Toxic Spikes, respectively, as a Standard Action. The item is then consumed. Caltrops are not usually sold in stores, but may be found from specialty shops for $500.",core,302,False
cleanse-tags,Cleanse Tags,Combat Item,,,True,True,False,,"Cleanse Tags are small strips of paper with a prayer or incantation written on them. When created, the creator makes an Occult Education Roll; this is the Cleanse Tag's Power Value.",core,302,False
dream-mist,Dream Mist,Combat Item,500,Dream Mist is collected from Pokémon with the eponymous Capability using a Collection Jar but is also in rare occult shops for $500,True,True,False,,"Dream Mist may be used as an AC 6 Melee Status Attack, performed as a Standard Action. If it hits, the target falls Asleep. Dream Mist is collected from Pokémon with the eponymous Capability using a Collection Jar but is also in rare occult shops for $500.",core,302,False
magic-flute,Magic Flute,Combat Item,4000,These rare artifacts cannot be found in most ordinary stores but may cost upwards of $4000 from an appropriate occult vendor,True,True,False,,"Magic Flutes are rare artifacts made only by skilled crafters with occult knowledge. They are not usually found in stores. When a Flute is crafted, it is tied to a particular Status Condition. Once per day, the Flute may be played as a Standard Action. All Pokémon and Trainers within 20 meters of the Flute are cured of that Status. These rare artifacts cannot be found in most ordinary stores but may cost upwards of $4000 from an appropriate occult vendor.",core,302,False
pester-balls,Pester Balls,Combat Item,,,True,True,False,,"Pester Balls are small balls full of chemicals that come in six varieties, each of which inflicts a different Status Affliction when they hit a target. The",core,302,False
smoke-ball,Smoke Ball,Combat Item,500,Smoke Balls can only be found in specialty shops for around $500,True,True,False,,"When used, a Smoke Ball creates a 3 meter blast that fills the area with smoke, as if the move Smokescreen had been used. Smoke Balls can only be found in specialty shops for around $500.",core,302,False
chemistry-set,Chemistry Set,Crafting Kit,1000,Costs $1000,False,True,False,,"Used to create Repels, Potions, and other objects. Costs $1000.",core,284,False
cooking-set,Cooking Set,Crafting Kit,1000,Costs $1000,False,True,False,,Used by Chefs to create Snacks and Refreshments. Costs $1000.,core,284,False
dowsing-rod,Dowsing Rod,Crafting Kit,2000,"They may be used while in any route, cave, or outside area and can be bought for $2000",False,True,False,,"Dowsing Rods have been attuned to the energy resonance given off by Shards. They may be used while in any route, cave, or outside area and can be bought for $2000. They may be activated by spending 10 minutes searching an area, and may be activated a number of times per day equal to half of the trainer's Occult Education Rank.",core,284,False
poffin-mixer,Poffin Mixer,Crafting Kit,500,"You simply insert cooking ingredients worth $500, and at least one of the listed berries",False,True,False,,"A Poffin Mixer can be used by any Trainer to create Poffins. You simply insert cooking ingredients worth $500, and at least one of the listed berries. You create two Poffins that raises the Contest Stat most represented by the berries used by +1 Contest Die. Some Berries can raise multiple Contest Stats; you choose which to raise when using these Berries to make Poffins. Cheri, Figy, Razz, Spelon and Belue Berries raise Cool; Chesto, Wiki, Bluk, Spelon and Pamtre Berries raise Beauty; Pecha, Mago, Nanab, Pamtre, and Watmel Berries raise Cute; Rawst, Aguav, Wepear, Watmel, and Durin Berries raise Smart; Aspear, Iapapa, Pinap, Durin, and Belue Berries raise Tough. Poffins can be purchased for $500 in bakeries and Contest halls, and Poffin Mixers cost $500 as well.",core,284,False
poke-ball-tool-box,Poké Ball Tool Box,Crafting Kit,500,They cost $500 and can be found in most Poké Marts,False,True,False,,These tool boxes let those with the know-how craft and repair Poké Balls. They cost $500 and can be found in most Poké Marts.,core,284,False
portable-grower-berry-planter,Portable Grower / Berry Planter,Crafting Kit,2000,Portable Growers cost $2000,False,True,False,,"Portable Growers can be used to grow berries and herbs. Portable Growers protect the plants within them from external weather, and never need to be fertilized. Each Grower holds one plant. Portable Growers cost $2000.",core,284,False
capture-styler,Capture Styler,Equipment,,"Not public sale; may cost upwards of $7,500 on black market.",False,True,False,"[""main_hand""]","Main-Hand specialized Ranger equipment; not sold to the general public, black-market cost may be upwards of $7,500.",core,294,False
dark-vision-goggles,Dark Vision Goggles,Equipment,1000,"$1,000",False,True,False,,These Goggles simply grant the Darkvision Capability while worn.,core,293,False
fancy-clothes,Fancy Clothes,Equipment,5000,$5000,False,True,False,,"Each set of Fancy Clothes is assigned a Contest Stat - either Beauty, Cool, Cute, Smart, or Tough. Trainers wearing these clothes may roll 2d6 during the Introduction Stage of a Contest to try to generate Contest Stat Dice for the assigned Stat.",core,293,False
fishing-rod,Fishing Rod,Equipment,,,False,True,False,,"Fishing Rods are used to Fish. They are two-handed items. They come in three varieties; Old Rods, Good Rods, and Super Rods. Old Rods cost $1000, Good Rods cost $5,000, and Super Rods cost $15,000.",core,294,False
flippers,Flippers,Equipment,2000,$2000,False,True,False,,"Flippers grant a +2 bonus to your Swim speed when fully submerged, and decrease your Overland speed by the same amount.",core,293,False
focus,Focus,Equipment,,,False,True,False,"[""accessory""]","A Focus grants +5 Bonus to a Stat, chosen when crafted. This Bonus is applied AFTER Combat Stages. Focuses are often Accessory-Slot Items, but may be crafted as Head-Slot, Hand or Off- Hand Slot Items as well; a Trainer may only benefit from one Focus at a time, regardless of the Equipment Slot. Focuses are not usually found in stores, but may sometimes be found for $6000 at your GM's discretion.",core,295,False
gas-mask,Gas Mask,Equipment,1500,"$1,500",False,True,False,,"Gas Masks are invaluable equipment when trying to breathe in toxic environments or heavy smoke. They not only let you breathe through environmental toxins or smoke, but you become immune to the Moves Rage Powder, Poison Gas, Poisonpowder, Sleep Powder, Smog, Smokescreen, Spore, Stun Spore, and Sweet Scent.",core,293,False
glue-cannon,Glue Cannon,Equipment,3000,,False,True,False,,Two-handed cannon; purchase includes three charge packets. Attack and status details are defined in Core p.294.,core,294,False
glue-cannon-charge,Glue Cannon Charge,Equipment,100,,False,True,False,,Additional charge packet for a Glue Cannon.,core,294,False
good-rod,Good Rod,Equipment,5000,,False,True,False,,Good Rod variant used for Fishing.,core,294,False
hand-net,Hand Net,Equipment,,,False,True,False,,"A long net, usually on the end of a long stick, these pieces of two-handed Equipment are usually used for bug catching or fishing. As an AC6 Status Attack, you may attempt to net a Small Pokémon using this item. If you hit, you manage to scoop up the Pokémon, trapping them. You may move with the Pokémon, dragging them with you. Pokémon may still attack from the Hand Net using long-range attacks, or try to attack the net itself, potentially breaking it and freeing themselves. Capture Rolls against Pokémon in a net receive a -20 bonus. Hand Nets with 50 Hit Points cost $100; 100 Hit Points cost $600; and 200 Hit Points cost $1500. Nets aren't broken until all of their Hit Points are depleted.",core,294,False
hand-net-100-hp,Hand Net - 100 HP,Equipment,600,,False,True,False,,Two-handed Hand Net with 100 Hit Points.,core,294,False
hand-net-200-hp,Hand Net - 200 HP,Equipment,1500,,False,True,False,,Two-handed Hand Net with 200 Hit Points.,core,294,False
hand-net-50-hp,Hand Net - 50 HP,Equipment,100,,False,True,False,,Two-handed Hand Net with 50 Hit Points.,core,294,False
heavy-armor,Heavy Armor,Equipment,12000,"$12,000",False,True,False,,Heavy Armor grants +10 Damage Reduction. Heavy Armor causes the wearer's Speed's Default Combat Stage to be -1.,core,293,False
heavy-shield,Heavy Shield,Equipment,4500,,False,True,False,"[""off_hand""]","A Shield is an Off-Hand defensive item held in one hand or braced to an arm. Heavy Shields grnat +2 Evasion and may be readied as a Standard Action to grant +6 Evasion and 15 Damage Reduction until the end of your next turn, but also cause you to become Slowed for that duration. If used Two-Handed, shields can also function as a Small Melee Weapon. Heavy Shields cost around $4500.",core,294,False
helmet,Helmet,Equipment,2250,$2250,False,True,False,,The user gains 15 Damage Reduction against Critical Hits. The user resists the Moves Headbutt and Zen Headbutt and can't be flinched by these Moves.,core,293,False
jungle-boots,Jungle Boots,Equipment,1500,$1500,False,True,False,,Jungle Boots grant you the Naturewalk (Forest) capability,core,293,False
light-armor,Light Armor,Equipment,8000,$8000,False,True,False,,Grants 5 Damage Reduction,core,293,False
light-shield,Light Shield,Equipment,3000,,False,True,False,"[""off_hand""]","A Shield is an Off-Hand defensive item held in one hand or braced to an arm. Light Shields grant +2 Evasion. They may be readied as a Standard Action to instead grant +4 Evasion and 10 Damage Reduction until the end of your next turn, but also cause you to become Slowed for that duration. If used Two-Handed, light shields can also function as a Small Melee Weapon. Light Shields cost around $3000.",core,294,False
mega-ring,Mega Ring,Equipment,,,False,True,False,,"Mega Rings are extraordinarily rare accessories that allow a Trainer's Pokémon to Mega Evolve when used in conjunction with a Mega Stone. They cannot be bought in stores anywhere and must usually be earned through a trial of sorts, governed by a Gym Leader or other influential Pokémon Trainer. They can take the form of a bracelet, a necklace, or an actual ring.",core,295,False
old-rod,Old Rod,Equipment,1000,,False,True,False,,Old Rod variant used for Fishing.,core,294,False
re-breather,Re-Breather,Equipment,4000,$4000,False,True,False,,This small partial face mask allows Trainers and Pokémon to breathe underwater as if they had the Gilled Capability for up to an hour. The Re-Breather is refilled automatically in 5 minutes while in open air.,core,293,False
running-shoes,Running Shoes,Equipment,2000,$2000,False,True,False,,"Running Shoes grant a +2 bonus to Athletics Checks, to a maximum total modifier of +3, and increase your Overland Speed by +1.",core,293,False
snag-machine,Snag Machine,Equipment,,"$30,000+ black market",False,True,False,,"Restricted/black-market equipment; source lists $30,000+ as a black-market reference where applicable.",core,295,False
snow-boots,Snow Boots,Equipment,1500,$1500,False,True,False,,"Snow Boots grant you the Naturewalk (Tundra) capability, but lower your Overland Speed by -1 while on ice or deep snow.",core,293,False
stealth-clothes,Stealth Clothes,Equipment,2000,$2000,False,True,False,,"Whether it's a dark cloak and hood, a ninja suit, or spy gear, these clothes help you blend in. This body-slot equipment raises your modifier to Stealth Checks made to remain unseen by +4, to a maximum total modifier of +4.",core,293,False
sunglasses,Sunglasses,Equipment,2000,$2000,False,True,False,,"+1 to Charm, Guile, and Intimidate Checks, to a maximum total modifier of +3.",core,293,False
super-rod,Super Rod,Equipment,15000,,False,True,False,,Super Rod variant used for Fishing.,core,294,False
weighted-net-150-hp,Weighted Net - 150 HP,Equipment,1200,,False,True,False,,Weighted Net with 150 Hit Points.,core,294,False
weighted-net-50-hp,Weighted Net - 50 HP,Equipment,500,,False,True,False,,Weighted Net with 50 Hit Points.,core,294,False
weighted-net-80-hp,Weighted Net - 80 HP,Equipment,850,,False,True,False,,Weighted Net with 80 Hit Points.,core,294,False
weighted-nets,Weighted Nets,Equipment,,,False,True,False,,"Weighted Nets are foldable nets used for trapping Pokémon. These two-handed nets, when Equipped, can be thrown at a target as a Standard Action, as a Status Attack with an AC of 8. While a Pokémon is netted, you may pull on the rope attached to the Net to pull the Pokémon 1 Meter towards you as a Standard Action. Pokémon hit by a weighted net become Slowed as long as the net remains and cannot use Sky or Levitate Speeds except to safely lower themselves back to the ground. A Pokémon may attack the Net to attempt to break free. Capture Rolls against Pokémon in a net receive a -20 bonus. Weighted Nets with 50 Hit Points cost $500; 80 Hit Points cost $850; and 150 Hit Points cost $1200.",core,294,False
wonder-launcher,Wonder Launcher,Equipment,10000,"$10,000+",False,True,False,,"Special launcher; source lists a base cost of $10,000+.",core,295,False
dawn-stone,Dawn Stone,Evolution Item,3000,,False,True,False,,"Evolves Eevee, Male Kirlia, Female Snorunt",core,298,False
deepseascale-deepseatooth,Deepseascale/ Deepseatooth,Evolution Item,3000,,False,True,False,,Evolves Clamperl,core,298,False
dragon-scale,Dragon Scale,Evolution Item,3000,,False,True,False,,Evolves Seadra,core,298,False
dubious-disc,Dubious Disc,Evolution Item,3000,,False,True,False,,Evolves Porygon2,core,298,False
dusk-stone,Dusk Stone,Evolution Item,3000,,False,True,False,,"Evolves Eevee, Murkrow, Misdreavus, Lampent, Doublade",core,298,False
electirizer,Electirizer,Evolution Item,3000,,False,True,False,,Evolves Electabuzz,core,298,False
fire-stone,Fire Stone,Evolution Item,3000,,False,True,False,,"Evolves Vulpix, Growlithe, Eevee, Pansear",core,298,False
leaf-stone,Leaf Stone,Evolution Item,3000,,False,True,False,,"Evolves Gloom, Weepinbell, Exeggcute, Eevee, Nuzleaf, Pansage",core,298,False
magmarizer,Magmarizer,Evolution Item,3000,,False,True,False,,Evolves Magmar,core,298,False
metal-coat,Metal Coat,Evolution Item,3000,,False,True,False,,"Evolves Onix, Scyther",core,298,False
moon-stone,Moon Stone,Evolution Item,3000,,False,True,False,,"Evolves Nidorina, Nidorino, Clefairy, Jigglypuff, Eevee, Skitty, Munna",core,298,False
oval-stone,Oval Stone,Evolution Item,3000,,False,True,False,,Evolves Happiny,core,298,False
protector,Protector,Evolution Item,3000,,False,True,False,,Evolves Rhydon,core,298,False
razor-claw,Razor Claw,Evolution Item,3000,,False,True,False,,Evolves Sneasel,core,298,False
razor-fang,Razor Fang,Evolution Item,3000,,False,True,False,,Evolves Gligar,core,298,False
reaper-cloth,Reaper Cloth,Evolution Item,3000,,False,True,False,,Evolves Dusclops,core,298,False
sachet,Sachet,Evolution Item,3000,,False,True,False,,Evolves Spritzee,core,298,False
shiny-stone,Shiny Stone,Evolution Item,3000,,False,True,False,,"Evolves Eevee, Togetic, Roselia, Minccino, Floette",core,298,False
sun-stone,Sun Stone,Evolution Item,3000,,False,True,False,,"Evolves Gloom, Sunkern, Cottonee, Petilil, Helioptile",core,298,False
thunder-stone,Thunder Stone,Evolution Item,3000,,False,True,False,,"Evolves Pikachu, Eevee, Eelektrik",core,298,False
up-grade,Up-Grade,Evolution Item,3000,,False,True,False,,Evolves Porygon,core,298,False
water-stone,Water Stone,Evolution Item,3000,,False,True,False,,"Evolves Poliwhirl, Shellder, Staryu, Eevee, Lombre, Panpour",core,298,False
whipped-dream,Whipped Dream,Evolution Item,3000,,False,True,False,,Evolves Swirlix,core,298,False
black-sludge,Black Sludge,Food,500,$500,True,True,False,,"Poison-Type Pokémon may consume the Black Sludge as a Snack Item; when the Digestion Buff is traded in, they recover 1/8th of their Max Hit Points at the beginning of each turn for the rest of the encounter.",core,278,False
candy-bar,Candy Bar,Food,75,$75,True,True,False,,Snack. Grants a Digestion Buff that heals 5 Hit Points.,core,278,False
honey,Honey,Food,100,$100,True,True,False,,Snack. Grants a Digestion Buff that heals 5 Hit Points. May be used as Bait,core,278,False
leftovers,Leftovers,Food,350,$350,True,True,False,,"Snack. When their Digestion Buff is traded in, the user recovers 1/16th of their max Hit Points at the beginning of each turn for the rest of the encounter.",core,278,False
hm-a1-cut,HM A1 - Cut,HM,75,$75,False,False,False,,Teaches Cut. Hidden Machines may be used once per day; the Pokémon must qualify through its TM/HM list.,core,301,False
hm-a2-fly,HM A2 - Fly,HM,3200,$3200,False,False,False,,Teaches Fly. Hidden Machines may be used once per day; the Pokémon must qualify through its TM/HM list.,core,301,False
hm-a3-surf,HM A3 - Surf,HM,5000,$5000,False,False,False,,Teaches Surf. Hidden Machines may be used once per day; the Pokémon must qualify through its TM/HM list.,core,301,False
hm-a4-strength,HM A4 - Strength,HM,3400,$3400,False,False,False,,Teaches Strength. Hidden Machines may be used once per day; the Pokémon must qualify through its TM/HM list.,core,301,False
hm-a5-waterfall,HM A5 - Waterfall,HM,3700,$3700,False,False,False,,Teaches Waterfall. Hidden Machines may be used once per day; the Pokémon must qualify through its TM/HM list.,core,301,False
hm-a6-dive,HM A6 - Dive,HM,2900,$2900,False,False,False,,Teaches Dive. Hidden Machines may be used once per day; the Pokémon must qualify through its TM/HM list.,core,301,False
big-root,Big Root,Held Item,1000,$1000,False,False,True,,HP stealing moves restore double HP. Cannot be used by Trainers.,core,296,False
bright-powder,Bright Powder,Held Item,2000,$2000,False,False,True,,+2 to Speed Evasion. Cannot be used by Trainers.,core,296,False
choice-item,Choice Item,Held Item,3000,$3000,False,False,True,,"Choice Items are tied to a Specific Stat. While worn, the default state of the Stat is +2 Combat Stages instead of 0. However, the user is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",core,296,False
contest-accessory,Contest Accessory,Held Item,1500,$1500,False,False,True,,The user rolls +2d6 during the Introduction Stage of a Contest. Cannot be used by Trainers.,core,296,False
contest-fashion,Contest Fashion,Held Item,1000,$1000,False,False,True,,"These Items have a chosen Contest Stat; Beauty, Cool, Cute, Smart, or Tough. When held, once per Contest, the holder may re-roll any 1s made when using a Move of the chosen Type. Cannot be used by Trainers.",core,296,False
everstone,Everstone,Held Item,1500,$1500,False,False,True,,Evolution is prevented for the holder. Cannot be used by Trainers.,core,296,False
eviolite,Eviolite,Held Item,4000,$4000,False,False,True,,"Only affects not-fully-evolved Pokémon of a single family, decided when the Eviolite is made. Grants a +5 Bonus to two different Stats, after Combat Stages, decided when the Eviolite is made. Prevents Pokémon from evolving when held. Cannot be used by Trainers.",core,296,False
expert-belt,Expert Belt,Held Item,3500,$3500,False,True,True,"[""accessory""]","Whenever the holder deals Super Effective Damage, they deal an additional 5 damage (this damage is not multiplied). Accessory Item for Trainers.",core,296,False
flame-orb,Flame Orb,Held Item,3800,$3800,False,True,True,"[""off_hand""]",Induces burn on holder. Off-Hand Item for Trainers. Standard Action to drop.,core,296,False
focus-band,Focus Band,Held Item,4700,$4700,False,True,True,"[""accessory""]","Whenever the user faints, roll 1d20. Once a Scene on a result of 16+, the holder does not faint, and is left with 1 Hit Point. Accessory Item for Trainers.",core,296,False
focus-sash,Focus Sash,Held Item,4700,$4700,False,True,True,"[""accessory""]","Once a Scene, if damage from a Move would take Focus Sash's holder's Hit Points from Max to 0 or less, Focus Sash's holder instead has 1 Hit Point remaining. Accessory Item for Trainers.",core,296,False
full-incense,Full Incense,Held Item,900,$900,False,False,True,,The holder gains the Stall ability. Cannot be used by Trainers.,core,296,False
go-goggles,Go-Goggles,Held Item,1500,$1500,False,True,True,"[""head""]",The user does not take damage from Sandstorm. Head Item for Trainers.,core,296,False
iron-ball,Iron Ball,Held Item,900,$900,False,True,True,"[""main_hand"", ""off_hand""]","The Holder's Speed is halved, and any immunity to Ground Type is lost. Hand Item for Trainers. Standard Action to drop.",core,296,False
kings-rock,King's Rock,Held Item,2500,$2500,False,True,True,"[""head""]","Attacks cause Flinch on a roll of 19+. This does not stack with any abilities, moves, or effects that extend flinch rate. Head Item for Trainers.",core,296,False
balm-mushroom,Balm Mushroom**,Herb,,---,True,True,False,,"The user is cured of Burn, Paralysis, or Poison. If they are, they lose 1 Combat Stage in a random Stat.",core,281,False
big-mushroom,Big Mushroom**,Herb,,---,True,True,False,,"The user becomes Poisoned; if they do, they gain +1 Combat Stage in two random Stats.",core,281,False
mental-herb,Mental Herb,Herb,300,$300,True,True,False,,Cures all Volatile Status Effects.,core,281,False
power-herb,Power Herb,Herb,300,$300,True,True,False,,Eliminates the Set-Up turn of Moves with the Set-Up Keyword.,core,281,False
tiny-mushroom,Tiny Mushroom**,Herb,,---,True,True,False,,"The user loses 5 HP, and gains +1 Combat Stage in a random Stat.",core,281,False
white-herb,White Herb,Herb,300,$300,True,True,False,,Any negative Combat Stages are set to 0.,core,281,False
antidote,Antidote,Medicine,200,$200,True,True,False,,Cures Poison,core,276,False
bandages,Bandages,Medicine,300,$300,True,True,False,,See attached Section,core,277,False
burn-heal,Burn Heal,Medicine,200,$200,True,True,False,,Cures Burns,core,276,False
dire-hit,Dire Hit,Medicine,600,$600,True,True,False,,Increases Critical Hit Range of all moves by +2.,core,276,False
energy-powder,Energy Powder,Medicine,150,$150,True,True,False,,Heals 25 Hit Points - Repulsive,core,276,False
energy-root,Energy Root,Medicine,500,$500,True,True,False,,Heals 70 Hit Points - Repulsive,core,276,False
full-heal,Full Heal,Medicine,450,$450,True,True,False,,Cures all Persistent Status Afflictions,core,276,False
full-restore,Full Restore,Medicine,1450,$1450,True,True,False,,Heals a Pokémon for 80 Hit Points and cures any Status Afflictions,core,276,False
guard-spec,Guard Spec,Medicine,700,$700,True,True,False,,Prevents reduction of Combat Stages or Accuracy on the Pokémon for 5 Turns,core,276,False
heal-powder,Heal Powder,Medicine,350,$350,True,True,False,,Cure all Persistent Status Afflictions - Repulsive,core,276,False
hyper-potion,Hyper Potion,Medicine,800,$800,True,True,False,,Heals 70 Hit Points,core,276,False
ice-heal,Ice Heal,Medicine,200,$200,True,True,False,,Cures Freezing,core,276,False
paralyze-heal,Paralyze Heal,Medicine,200,$200,True,True,False,,Cures Paralysis,core,276,False
potion,Potion,Medicine,200,$200,True,True,False,,Heals 20 Hit Points,core,276,False
poultices,Poultices,Medicine,225,$225,True,True,False,,See attached Section - Repulsive,core,277,False
revival-herb,Revival Herb,Medicine,350,$350,True,True,False,,Revives Pokémon and sets to 50% Hit Points - Repulsive,core,276,False
revive,Revive,Medicine,300,$300,True,True,False,,Revives fainted Pokémon and sets to 20 Hit Points,core,276,False
super-potion,Super Potion,Medicine,380,$380,True,True,False,,Heals 35 Hit Points,core,276,False
x-accuracy,X Accuracy,Medicine,600,$600,True,True,False,,Increases Accuracy by +2,core,276,False
